@Relation EEGDataTraining_74

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE Feature25 NUMERIC
@ATTRIBUTE Feature26 NUMERIC
@ATTRIBUTE Feature27 NUMERIC
@ATTRIBUTE Feature28 NUMERIC
@ATTRIBUTE Feature29 NUMERIC
@ATTRIBUTE Feature30 NUMERIC
@ATTRIBUTE Feature31 NUMERIC
@ATTRIBUTE Feature32 NUMERIC
@ATTRIBUTE Feature33 NUMERIC
@ATTRIBUTE Feature34 NUMERIC
@ATTRIBUTE Feature35 NUMERIC
@ATTRIBUTE Feature36 NUMERIC
@ATTRIBUTE Feature37 NUMERIC
@ATTRIBUTE Feature38 NUMERIC
@ATTRIBUTE Feature39 NUMERIC
@ATTRIBUTE Feature40 NUMERIC
@ATTRIBUTE Feature41 NUMERIC
@ATTRIBUTE Feature42 NUMERIC
@ATTRIBUTE Feature43 NUMERIC
@ATTRIBUTE Feature44 NUMERIC
@ATTRIBUTE Feature45 NUMERIC
@ATTRIBUTE Feature46 NUMERIC
@ATTRIBUTE Feature47 NUMERIC
@ATTRIBUTE Feature48 NUMERIC
@ATTRIBUTE Feature49 NUMERIC
@ATTRIBUTE Feature50 NUMERIC
@ATTRIBUTE Feature51 NUMERIC
@ATTRIBUTE Feature52 NUMERIC
@ATTRIBUTE Feature53 NUMERIC
@ATTRIBUTE Feature54 NUMERIC
@ATTRIBUTE Feature55 NUMERIC
@ATTRIBUTE Feature56 NUMERIC
@ATTRIBUTE Feature57 NUMERIC
@ATTRIBUTE Feature58 NUMERIC
@ATTRIBUTE Feature59 NUMERIC
@ATTRIBUTE Feature60 NUMERIC
@ATTRIBUTE Feature61 NUMERIC
@ATTRIBUTE Feature62 NUMERIC
@ATTRIBUTE Feature63 NUMERIC
@ATTRIBUTE Feature64 NUMERIC
@ATTRIBUTE Feature65 NUMERIC
@ATTRIBUTE Feature66 NUMERIC
@ATTRIBUTE Feature67 NUMERIC
@ATTRIBUTE Feature68 NUMERIC
@ATTRIBUTE Feature69 NUMERIC
@ATTRIBUTE Feature70 NUMERIC
@ATTRIBUTE Feature71 NUMERIC
@ATTRIBUTE Feature72 NUMERIC
@ATTRIBUTE Feature73 NUMERIC
@ATTRIBUTE Feature74 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4255.38,3974.87,4248.21,4105.13,4334.87,4635.9,4097.44,4638.97,4220.51,4230.77,4195.38,4275.38,4580.51,4340.51,3989.28,4175.58,4023.26,4047.89,4179.86,3993.3,4162.2,4098.77,4093.12,4143.97,3959.39,4092.95,4114.84,4025.93,4137.33,3998.63,4165.37,3988.48,4081.45,4068.16,4024.5,3962.91,4148.86,4159.19,4036.77,3957.41,3976.55,4019.92,4099.63,3965.35,3985.29,4040.48,4076.28,3990.58,4191.34,4072.31,4106.11,4134.44,3951.02,3986.52,4154.74,4001.79,4189.46,4042.09,4159.25,4054.93,4194.16,4068.42,4001.53,4171.9,4112.25,4143.96,4007.71,4070.68,3955.18,4088.19,3963.04,4024.44,4152.77,4189.03,0
4298.97,4011.28,4257.44,4116.41,4349.74,4568.21,4097.95,4617.95,4204.62,4242.05,4205.64,4276.92,4602.05,4355.9,4191.98,4037.85,4192.6,4085.92,3950.2,4029.46,4129.67,4093.11,4036.23,4074.75,3962.58,4009.06,3995.71,4096.04,3991.17,3988.91,4183.81,3960.61,3997.62,4108.36,4167.72,3985.58,4052.08,4094.22,4042.27,4030.56,4122.1,4190.98,4197.16,4124.22,4191.38,3979.06,4055.16,4168.89,4110.27,4078.23,4041.76,4154.75,4167.06,4007.25,4109.78,4141.75,4134.34,4054.68,4032.98,4046.14,4077.97,4103.44,4041.3,4123.04,4010.39,4102.03,3986.25,4047.7,4038.88,4179.4,4143.47,4038.54,4003.53,4049.72,0
4282.56,4008.72,4251.79,4109.23,4340,4612.82,4048.21,4595.38,4181.54,4225.64,4207.18,4280.51,4627.18,4345.64,4089.24,3950.53,4048.54,4162.2,4011.47,3956.47,4025.43,3969.69,4153.58,4146.86,4055.64,4152.76,4081.84,4053.58,4105.63,4182.15,4016.14,4115.98,3960.0,4129.47,3974.33,4046.99,4174.64,4193.07,4113.51,4135.21,4140.43,4072.4,4108.0,4020.31,3974.51,4080.28,4092.65,3988.25,4130.39,3979.32,4169.55,4030.61,4153.79,3955.29,3996.77,4012.01,4076.44,4060.8,4066.8,4072.31,4127.76,3957.32,4164.45,4109.96,4019.36,3951.26,4087.72,3970.41,4150.07,4186.24,4091.16,3991.01,3987.41,4162.97,1
4294.36,4030.26,4263.59,4137.95,4341.03,4625.13,4084.1,4620,4199.49,4235.9,4204.1,4278.97,4609.74,4351.28,3994.74,4096.63,4024.51,4191.18,4104.02,3987.13,4186.57,4065.78,3960.34,4120.54,4097.88,3968.96,3964.87,4071.02,3954.3,4051.86,4146.86,4092.55,4035.39,4072.54,4021.17,3960.58,3957.45,4162.42,3975.02,4033.37,4177.52,4005.13,4154.35,3971.72,4004.22,4120.75,4065.51,4148.79,3996.79,4189.95,3987.41,4099.63,4134.29,4159.35,4151.2,4096.05,4029.06,4145.71,4161.3,4009.68,4126.98,4042.62,4123.7,4157.31,4179.81,4024.34,4065.42,4010.09,4002.2,4185.35,4067.25,4190.13,4006.87,4133.11,1
4299.49,3966.67,4254.87,4091.28,4320.51,4609.74,4065.64,4622.56,4206.67,4236.41,4209.74,4287.69,4597.95,4373.33,4185.33,4147.98,4006.62,4008.16,4077.55,4009.04,4196.8,3970.32,4023.22,4184.95,4035.1,4038.43,4116.87,4037.12,3998.63,4187.21,4044.17,4180.15,4012.32,4124.59,4147.34,4115.75,4153.29,4008.52,4006.33,4039.73,4112.01,3972.1,4152.45,4195.16,4074.96,4017.58,4197.32,4058.59,4193.58,4108.36,4091.5,4107.8,4180.79,3995.45,4084.33,4000.34,3990.33,4065.21,4024.6,4199.79,3959.71,4112.97,4061.37,4169.44,3999.33,4140.89,4170.16,3990.92,3981.37,4122.91,3965.7,4025.2,4141.42,4094.53,1
4296.41,4016.92,4263.08,4117.95,4333.33,4616.92,4089.74,4605.13,4188.21,4214.87,4181.54,4273.85,4578.46,4352.82,4069.9,3992.47,4093.28,4094.51,4047.6,3977.74,4131.16,4062.52,3978.78,4045.9,4080.04,4181.08,3950.79,4045.15,3954.1,4181.56,4019.27,4192.11,4100.02,4148.87,3978.96,4186.77,4169.25,4120.2,4100.61,3958.0,3993.73,4145.77,4000.79,4057.05,4026.88,4092.39,4130.04,4058.61,3982.62,4191.1,3990.87,4011.78,4080.99,3972.78,4037.75,3978.41,4078.16,4044.1,4059.42,4186.39,4082.91,4063.88,4110.94,4095.3,4004.36,4044.51,4154.12,4151.63,4145.9,4037.02,4164.72,4100.04,4167.31,4078.06,0
4283.08,3993.85,4248.21,4102.05,4335.9,4600,4065.64,4587.69,4177.95,4214.36,4191.79,4275.38,4613.85,4353.85,4027.66,3963.38,4133.89,4097.69,4138.19,4146.29,3997.69,4108.88,4050.85,3986.49,4165.34,4082.07,3984.8,4175.31,4032.06,4033.2,4156.83,4017.66,4127.22,4110.0,4058.29,4063.51,4079.09,4195.67,4059.06,3965.3,4177.09,4004.91,3970.7,3976.19,4001.03,4106.84,4036.69,4127.21,4130.19,4052.81,4165.44,4014.88,3981.47,4017.28,4010.9,4132.04,4140.49,4199.66,4061.59,4023.63,4091.93,4093.88,4037.45,4145.78,4096.09,3987.31,4167.02,4008.76,4005.6,4110.32,4152.48,4166.52,4080.05,4191.39,1
4324.1,4023.08,4275.9,4135.38,4333.85,4616.92,4082.56,4631.28,4212.82,4231.79,4195.9,4285.64,4593.33,4379.49,4120.93,4082.52,4196.2,3979.01,4120.83,4036.79,4139.02,4062.77,4143.1,4146.92,4152.09,3979.07,4128.96,4058.73,4129.93,4062.7,4056.31,4180.3,4018.51,4172.45,4045.79,4171.99,4161.43,4068.97,4196.4,4113.26,4073.62,4078.83,3951.27,4097.54,3967.96,4149.08,4189.77,3968.21,4023.36,4193.42,4017.26,4196.23,4164.15,4161.91,4175.7,4067.56,3974.53,3951.09,4004.77,4153.34,4001.37,4053.62,4007.72,3995.01,4166.2,4017.51,4150.9,4102.52,4185.44,4043.7,4175.91,4165.37,4024.53,4187.08,0
4296.41,4003.59,4262.56,4126.15,4329.23,4618.46,4077.44,4601.54,4190.26,4235.9,4190.77,4283.08,4589.74,4369.74,4109.18,4086.78,4145.25,4018.26,4179.93,4168.18,4070.96,4021.99,3966.32,4158.39,4047.72,4021.36,4082.72,4146.51,3958.07,4031.9,4088.02,4066.05,4129.91,4039.33,3973.86,4013.61,4034.58,4032.29,4045.45,4187.62,4110.73,4109.21,4165.21,3960.67,4076.09,3969.59,3992.51,4185.3,4187.1,4125.03,4074.94,4166.37,4039.01,4088.44,4138.35,4105.38,4135.0,4170.03,4190.45,3988.68,4182.09,4073.31,4118.64,4011.73,4081.81,4070.62,4129.71,4037.25,3966.23,4148.25,3987.76,3956.14,4090.75,3963.83,0
4378.46,4025.13,4283.59,4122.05,4322.05,4609.23,4056.41,4615.38,4196.41,4230.77,4233.85,4307.69,4650.77,4448.21,4044.26,4031.84,4023.45,4193.24,4146.45,4102.93,4037.21,4070.99,4156.72,3956.61,3974.53,3989.19,3990.96,4137.38,4144.19,3997.06,3994.22,3981.48,4071.47,4079.44,4124.51,4165.69,3997.7,3974.43,4125.25,4172.84,3977.46,4053.31,3950.18,4104.31,3999.27,4197.04,4035.06,4088.27,4049.24,4137.19,3984.24,4003.68,4137.12,4197.81,4010.94,4150.19,4132.94,3964.58,4002.02,4043.87,3985.94,4196.59,4078.26,4025.27,4171.24,4091.03,4094.27,4021.11,4113.65,4195.76,3960.52,4089.74,4107.39,4130.65,1
4274.36,3984.1,4251.79,4116.41,4329.23,4598.97,4041.54,4618.46,4192.31,4213.33,4199.49,4271.79,4588.21,4342.05,4050.46,4049.97,4001.21,3993.33,4051.01,4184.95,4110.58,3997.96,3987.54,3986.09,3977.48,4005.12,4043.47,4039.06,4096.22,4150.7,4104.14,4057.72,4051.55,4055.55,3978.88,4136.43,4003.97,4107.63,4173.53,4008.82,4155.04,4039.15,4183.19,3960.6,4135.43,4145.95,3982.57,3996.88,3965.14,3981.25,4142.37,4019.76,4108.2,4004.62,4095.61,4010.0,4159.03,4019.82,4148.44,4145.14,4063.58,4087.1,4042.7,3962.91,4046.64,4080.36,3954.69,4176.1,3962.77,4112.3,4062.08,3956.97,4117.33,4129.76,1
4322.56,4052.31,4282.05,4152.82,4356.92,4638.46,4072.31,4612.31,4204.62,4251.28,4216.41,4287.18,4616.92,4385.13,4180.6,4039.7,4016.09,4150.16,4112.35,4094.15,4060.66,4085.22,4058.41,3982.87,4142.08,4066.2,4144.72,3962.91,4083.62,4045.12,3993.51,4161.34,4138.7,4025.35,4127.62,3964.73,4142.45,4119.15,4175.44,4037.06,3953.79,4102.53,3970.45,4021.81,4104.29,3977.1,3971.0,3964.18,3990.5,4101.93,4090.34,3967.01,4148.21,4159.38,4014.96,4175.44,4054.16,4165.62,4013.29,3958.89,4190.53,4129.38,4115.22,4109.75,4167.86,4095.26,4120.38,4171.29,4026.72,4126.28,4060.25,4094.79,4119.11,4000.95,1
4276.41,4001.54,4248.21,4092.31,4336.41,4605.64,4042.05,4587.69,4175.38,4212.82,4189.74,4267.69,4611.28,4330.77,4081.45,4097.26,4184.15,4065.55,3995.26,4152.42,4172.1,4098.37,4162.74,4167.67,4115.47,3985.37,4152.08,4127.3,4030.69,3999.87,4038.84,4031.06,4052.04,4019.41,3979.62,4061.21,4183.69,4111.48,4160.07,4069.56,4116.52,4120.02,4186.73,4150.4,4037.72,4145.17,4176.84,4097.37,3952.97,3978.0,3963.28,4184.13,4130.39,4088.17,4010.86,4039.76,3965.92,3979.59,4094.92,4081.37,4127.87,4010.03,4001.83,4036.69,4092.82,3986.48,4194.15,4122.69,4018.39,3969.9,4139.94,4047.04,4002.43,4152.44,1
4322.05,4004.1,4282.05,4112.82,4336.92,4618.46,4071.28,4625.13,4214.87,4247.69,4211.79,4286.67,4606.67,4373.33,4069.46,4035.8,4092.52,4114.56,4067.93,4119.89,4066.41,3989.37,4147.28,4068.46,4165.37,4026.3,4123.87,3995.06,3994.47,4173.91,4184.79,4188.07,4008.46,4123.57,3976.31,4144.42,3955.76,4166.71,4185.98,4056.47,3967.63,4076.61,4091.98,4153.04,4081.15,4124.37,4109.09,4082.02,4122.93,4044.3,4057.05,4073.11,4150.93,4014.04,4184.44,4158.64,3959.72,4154.99,4138.91,4166.5,4056.73,4157.33,4198.25,4193.33,4152.47,3960.54,3978.66,4010.46,4054.0,4086.87,4137.85,4157.05,4003.54,4178.51,1
4324.1,4032.31,4267.18,4125.64,4345.13,4632.31,4082.05,4610.26,4203.59,4240,4209.74,4299.49,4606.67,4388.21,4198.71,3951.57,4140.63,3985.58,4058.24,4198.93,3955.32,4024.66,4052.63,3996.35,4044.02,4173.14,4005.02,4157.13,4168.92,4186.92,4150.59,3975.25,4029.5,4013.48,4088.34,3953.61,3960.45,3951.59,4114.35,4089.64,3961.45,4043.21,4055.59,4077.33,4178.79,4006.47,3985.21,3977.72,4051.04,3950.96,4137.79,4143.41,4155.65,4103.73,4180.47,4131.99,4028.03,4149.82,4030.26,4035.5,4179.06,4098.14,4167.01,4014.37,3959.78,4163.11,4032.14,4080.05,4187.63,4085.24,4188.28,4197.11,4024.83,4114.4,0
4301.54,3999.49,4254.87,4125.64,4329.74,4617.95,4070.26,4605.64,4200,4231.28,4205.13,4285.13,4610.77,4355.38,4061.51,3986.48,4022.71,4139.41,4195.13,4009.28,4143.84,4093.12,3955.65,4021.31,4144.06,4077.29,4038.22,3951.65,4017.74,4125.49,3968.8,3961.48,4163.38,3960.42,3999.19,4028.2,4123.1,4153.6,3998.04,3960.33,3997.79,4155.58,4030.75,4068.6,4091.01,4084.25,4102.61,4009.05,4167.48,4037.88,4082.75,4108.46,4104.52,4010.51,4046.85,4130.37,4108.74,4079.57,4143.73,4021.47,4008.16,3952.72,4021.94,4037.96,4079.55,4068.49,4099.37,4193.85,4166.91,4078.03,4032.21,4020.41,4015.36,3956.59,0
4280,4003.59,4250.26,4124.62,4341.03,4617.95,4057.44,4615.9,4191.28,4225.13,4157.95,4253.85,4594.87,4331.79,4012.58,4106.58,4132.55,4150.89,3973.3,4006.64,4024.54,4115.43,4072.37,4091.16,3989.12,4000.89,4168.9,4088.29,4006.23,4119.31,3951.36,3968.13,3998.96,4155.32,4174.53,4166.54,4134.93,4151.89,3979.84,3963.53,4070.34,3961.26,4025.26,4123.26,4097.38,4125.58,3971.87,4049.48,3973.77,3992.3,4157.58,3981.01,4080.73,4121.87,4078.64,4026.25,4119.05,4079.42,3960.82,4019.02,3953.06,3990.41,4018.33,4016.57,4195.98,4024.86,4094.87,3971.35,4050.05,3959.38,4134.98,4050.5,4059.58,4176.2,1
4293.85,3977.44,4262.56,4119.49,4334.87,4621.03,4071.79,4635.38,4216.92,4235.38,4194.36,4283.59,4581.54,4350.77,3952.58,4131.51,4132.75,4085.75,4197.37,4075.02,4053.69,4122.99,4040.44,4168.9,4027.45,4046.16,4019.98,3950.02,3989.78,4136.81,4100.98,3960.34,4194.85,3950.53,4148.55,4138.36,4030.19,3963.8,3986.92,3970.34,4137.89,4156.66,4164.3,4150.33,4000.38,4082.91,4043.91,3957.28,4173.41,3971.96,4008.91,4026.37,3987.81,4005.62,4002.16,4068.92,4079.39,4162.79,4152.84,4055.72,4047.19,3964.85,4197.57,4130.49,4035.41,3958.28,3992.91,4025.03,3981.36,4198.91,4124.52,4064.09,4003.13,4056.68,1
