@Relation EEGDataTesting_44

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE Feature25 NUMERIC
@ATTRIBUTE Feature26 NUMERIC
@ATTRIBUTE Feature27 NUMERIC
@ATTRIBUTE Feature28 NUMERIC
@ATTRIBUTE Feature29 NUMERIC
@ATTRIBUTE Feature30 NUMERIC
@ATTRIBUTE Feature31 NUMERIC
@ATTRIBUTE Feature32 NUMERIC
@ATTRIBUTE Feature33 NUMERIC
@ATTRIBUTE Feature34 NUMERIC
@ATTRIBUTE Feature35 NUMERIC
@ATTRIBUTE Feature36 NUMERIC
@ATTRIBUTE Feature37 NUMERIC
@ATTRIBUTE Feature38 NUMERIC
@ATTRIBUTE Feature39 NUMERIC
@ATTRIBUTE Feature40 NUMERIC
@ATTRIBUTE Feature41 NUMERIC
@ATTRIBUTE Feature42 NUMERIC
@ATTRIBUTE Feature43 NUMERIC
@ATTRIBUTE Feature44 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4286.15,3991.28,4247.18,4110.77,4336.92,4612.82,4057.44,4604.62,4187.18,4223.08,4195.9,4264.1,4585.64,4344.1,4183.55,4120.31,3973.01,4098.43,4036.06,4131.36,3973.56,4008.46,4103.59,4111.37,3992.47,4147.73,4196.18,4033.06,4013.43,4010.17,4079.07,4134.06,4151.56,3963.46,4004.03,4080.22,4116.16,4054.76,4040.98,4033.35,4033.27,3976.71,4115.68,4078.8,1
4329.23,4002.56,4285.64,4131.79,4355.9,4634.87,4087.69,4626.67,4220,4265.13,4228.72,4308.21,4637.95,4389.23,4007.99,4102.36,4154.19,4084.19,3990.67,4039.93,4067.95,4056.14,4064.97,4078.77,4138.44,4076.22,4136.88,4109.7,4146.15,4178.6,4199.0,4045.46,4194.18,4061.01,4118.19,3974.64,4177.02,4071.18,4141.63,4106.88,4166.67,4144.99,4119.27,4125.94,1
4303.59,4026.15,4255.38,4124.1,4352.82,4600.51,4092.82,4610.26,4205.13,4232.82,4201.54,4274.36,4601.03,4352.31,4005.78,3989.49,3996.25,4077.05,4080.08,4064.97,4006.49,3965.06,4123.57,4142.68,4197.57,4101.53,4033.98,4131.12,4177.53,4165.29,4069.07,4048.51,3955.61,4069.25,4168.16,3987.63,4163.27,3982.08,4075.07,3986.33,4137.85,4040.92,4038.01,3985.01,0
4274.87,3982.56,4241.54,4096.92,4320.51,4603.08,4054.87,4624.62,4211.79,4223.08,4205.13,4270.26,4592.31,4341.03,3959.38,4106.57,3978.78,4128.59,3998.84,4043.71,4030.53,4178.43,3950.72,3969.13,4035.1,4163.19,4008.56,4037.49,3976.98,3996.99,4146.52,3976.16,4108.21,4183.59,4105.04,3979.16,4180.65,4110.15,4199.91,4113.45,3995.75,3958.46,4083.38,4012.46,1
4311.28,4019.49,4264.62,4105.64,4335.9,4618.46,4104.62,4613.33,4209.23,4226.15,4208.72,4293.33,4617.44,4368.72,4054.51,4192.39,4151.11,4061.74,4156.14,4188.25,3976.26,3962.83,3995.28,3979.44,4095.25,4042.8,3952.71,4059.21,4062.44,4180.85,3984.67,4042.61,3972.96,4035.82,4097.36,4047.68,4032.8,4161.9,4199.91,4052.21,4068.02,4145.76,4086.19,3963.21,1
4292.82,4024.62,4263.59,4133.33,4321.54,4585.13,4089.23,4596.41,4182.05,4215.38,4156.41,4279.49,4581.03,4352.82,4159.18,4050.49,4130.9,4051.79,3982.43,3982.03,4174.83,4069.24,3986.57,4103.96,3985.59,4139.67,4163.09,4029.52,4178.49,4002.74,4170.21,4101.3,3974.1,4108.47,4002.15,4050.48,4140.01,4031.85,4168.7,4148.97,4198.31,3976.12,4047.88,3992.29,0
4363.59,3996.92,4285.13,4138.97,4363.08,4640.51,4085.13,4616.41,4200.51,4266.15,4226.15,4302.56,4640,4413.85,4104.51,4161.57,4129.9,4162.47,4048.45,4140.0,4046.45,4126.44,3963.32,4103.14,4053.12,4082.62,4184.95,3979.48,4111.29,3980.35,3991.26,4044.55,4061.33,4153.2,3993.01,4043.23,4132.47,4181.97,4181.56,4037.15,4134.89,4041.67,4008.45,3985.37,1
4298.97,4003.08,4263.59,4122.56,4347.18,4626.67,4089.23,4638.97,4236.92,4282.56,4229.23,4288.21,4643.59,4370.77,4026.47,3996.5,4188.75,4040.86,4006.32,3964.36,4078.44,4187.72,4019.06,4040.27,4116.19,4170.91,3951.56,4027.57,4047.56,3962.82,4026.51,4156.15,4174.26,3997.73,4111.01,4025.5,4090.08,4040.81,4189.75,4095.63,3977.24,4086.08,4105.85,3973.48,1
4315.9,4021.03,4277.95,4134.36,4346.15,4591.28,4095.9,4620,4208.72,4235.38,4212.31,4280.51,4625.64,4391.79,4033.69,4125.71,4060.74,4075.56,4074.39,4149.85,4124.67,4080.95,4088.53,4082.06,4193.09,3969.36,4036.92,4183.98,4033.25,4177.4,4194.91,4128.66,4180.21,4176.08,4006.39,3964.32,4020.66,4187.33,4095.33,4050.27,4151.41,4192.05,4018.23,4105.6,0
4319.49,4008.21,4274.36,4135.38,4324.62,4601.03,4055.9,4605.13,4181.03,4216.92,4189.74,4280.51,4584.62,4367.18,4094.2,4184.9,4156.79,4136.01,4018.07,4004.59,4133.5,4135.42,4155.77,4031.51,4084.43,4170.99,3951.79,4168.02,4043.87,3976.28,4105.73,4058.0,3994.06,4193.49,4062.1,4157.05,3992.39,4139.58,4034.46,3960.2,3995.97,4000.67,3966.76,4005.8,1
4317.44,4037.95,4267.69,4122.05,4351.79,4631.28,4119.49,4623.08,4216.92,4240.51,4228.21,4293.33,4632.82,4373.85,3981.71,3976.22,4115.15,4069.19,4192.34,4027.18,4170.1,4155.14,4131.48,4195.63,3973.73,4164.67,4109.53,4103.14,4132.54,4010.29,4190.07,4028.3,3955.27,4043.09,4161.81,4030.86,4015.81,4048.67,4079.93,4190.78,4158.66,4067.83,3993.18,4086.22,1
4274.87,3997.95,4238.46,4089.74,4335.38,4618.46,4105.64,4634.87,4215.9,4227.18,4188.21,4272.82,4612.31,4335.38,4116.78,4195.03,4115.25,4102.35,3980.54,4019.58,4199.48,4041.59,4194.5,4107.61,4049.44,4063.29,4051.38,4159.11,4073.42,4091.05,4135.41,4049.02,4107.89,4095.97,4008.3,3950.97,4027.88,4115.0,4059.16,4035.04,4020.81,4156.74,4136.12,4138.38,1
4300.51,4033.85,4265.64,4142.05,4329.23,4585.64,4086.15,4604.62,4191.79,4225.13,4165.64,4285.64,4595.9,4354.36,4060.79,4127.5,4126.07,4056.45,4102.59,3995.03,4086.47,3977.22,3967.0,4191.33,4148.39,4005.02,4078.21,3978.03,4055.16,4141.78,4110.44,4144.51,4182.99,4169.95,4072.22,3996.77,4192.32,4182.69,3991.03,4127.24,4158.42,4087.6,4144.98,4033.5,0
4320,3996.92,4265.13,4136.92,4338.97,4618.97,4082.56,4607.69,4202.05,4229.23,4215.38,4291.28,4617.95,4371.79,4083.88,4050.48,4153.08,4180.72,4006.82,4039.32,4169.84,4109.05,4037.77,4059.62,4012.01,4118.2,4125.1,3971.94,4020.85,4026.01,4067.3,4069.43,4080.02,4104.02,4073.42,3986.55,4113.31,4020.23,4173.98,4019.65,4088.09,4171.28,4196.17,4188.09,0
4405.13,4038.46,4276.92,4119.49,4321.54,4606.15,4057.95,4615.38,4200.51,4244.62,4247.18,4308.21,4680,4482.05,4052.7,4165.14,4061.08,4057.85,4003.66,4160.95,4150.45,4088.22,4030.01,4156.81,4117.59,4170.14,4058.52,4079.29,3995.93,3975.72,3996.89,4188.95,3972.23,4034.9,3953.96,4120.9,4092.61,4075.64,4176.67,4197.9,4088.88,4060.14,4065.32,4131.31,1
4283.08,4003.08,4247.69,4110.26,4336.92,4616.92,4083.08,4626.15,4211.79,4229.23,4197.44,4266.67,4594.87,4355.9,4011.95,3983.75,4138.94,4011.09,4063.23,4069.69,4185.69,3969.78,4182.18,3966.51,4082.08,4113.17,4066.55,4127.31,4168.61,4041.14,4161.02,3982.78,4081.72,4032.11,4061.13,4055.92,4127.65,4173.59,4006.81,3997.23,3983.6,4126.18,4029.29,4189.94,1
4247.69,3963.08,4230.77,4103.08,4327.69,4606.15,4038.97,4612.82,4192.31,4221.54,4175.38,4254.36,4556.92,4314.36,4125.99,4149.82,4061.73,4050.04,4006.15,4099.12,4170.89,4110.1,3992.62,4102.2,4183.4,3973.36,4092.01,4122.03,4179.95,4087.13,4039.01,4062.24,4011.55,4003.22,4059.94,3993.71,3994.87,4098.17,4093.53,4146.43,4154.98,4052.55,4104.32,4170.13,1
4313.33,4007.18,4254.36,4115.38,4327.18,4600.51,4058.46,4602.56,4197.44,4228.21,4198.97,4283.59,4610.26,4385.13,3989.51,4172.35,4057.47,4161.02,4193.57,4160.08,4041.46,4153.6,4141.89,4186.01,4049.55,4044.14,4187.55,4084.62,4163.17,4116.58,4106.19,3981.94,4057.64,4191.48,4096.05,4182.04,4056.23,4153.22,4037.3,4139.69,4091.09,3975.77,4014.02,4052.18,1
4289.23,3987.69,4262.56,4107.18,4340.51,4623.59,4071.79,4622.56,4199.49,4228.72,4207.18,4285.13,4595.38,4354.87,4027.52,4079.24,4191.77,4099.13,4105.79,4189.01,4074.31,4136.58,4105.16,4137.8,4152.58,4102.37,4135.28,3991.67,4156.94,4023.23,4093.47,4044.27,4065.09,4150.02,3967.95,4054.84,4073.0,3985.61,4056.39,4015.05,3987.91,3958.08,4181.44,4048.18,0
4302.56,4003.59,4280.51,4105.13,4343.59,4629.74,4093.33,4630.77,4216.92,4254.36,4224.62,4300.51,4612.31,4382.56,3953.64,3975.94,4110.72,4158.04,4142.82,3952.14,4126.73,4127.45,4065.82,4168.82,4004.32,4066.2,4152.45,4117.14,4139.75,4090.82,3992.8,4111.67,4083.48,4044.57,4046.93,4181.85,4145.6,4170.99,4160.36,4006.6,4003.73,3995.33,4176.73,3964.93,0
4298.46,4006.15,4266.67,4132.82,4337.95,4615.9,4056.92,4618.46,4214.87,4237.95,4225.13,4279.49,4608.72,4363.08,4073.48,4000.93,3960.38,4013.53,4115.77,4191.61,4060.55,4066.43,4039.87,3998.56,4079.01,3983.02,4097.21,4105.08,3982.54,3985.49,3983.6,4043.83,3960.56,4132.22,4156.45,4031.21,3994.8,4136.35,4086.38,4013.87,3996.17,3960.51,4075.69,4032.75,1
4272.31,3983.59,4261.54,4118.97,4326.15,4611.28,4080,4602.05,4185.13,4216.92,4188.72,4271.79,4588.72,4339.49,4073.64,4134.23,4013.98,3998.68,3987.16,3970.95,4112.01,4181.46,4142.75,4185.2,4035.08,3960.24,4190.05,4017.74,4151.13,4181.43,4086.54,4199.05,3967.27,4037.35,4097.81,3963.27,3954.19,3996.68,4038.81,4149.01,4016.89,3954.83,4027.91,4174.71,0
4285.13,3975.38,4266.15,4115.9,4348.72,4633.33,4084.62,4641.03,4216.41,4248.72,4216.41,4287.69,4622.56,4353.85,3959.46,4124.58,4166.98,4158.03,4198.74,3969.92,3951.51,4018.55,4112.32,4051.31,3975.15,4182.37,4155.77,3984.04,4036.93,4134.11,4073.29,4153.99,4124.49,4117.42,4089.55,4118.97,4020.05,4034.48,4108.48,4012.77,4076.18,4190.83,3983.45,4161.18,0
4289.23,4003.59,4244.1,4117.44,4325.13,4572.82,4075.9,4607.69,4194.36,4212.31,4192.31,4271.79,4590.26,4354.36,4126.88,4000.21,4108.4,4037.19,3994.8,4160.58,4080.61,4015.83,4169.98,4009.16,4185.88,4172.67,4189.7,3955.47,4037.81,3962.37,4057.2,4125.96,4056.39,3950.97,4136.44,3990.85,3963.38,3994.33,4033.16,4186.91,4002.65,4033.88,4083.58,4120.21,0
4263.08,4009.74,4251.28,4138.97,4350.26,4625.64,4105.64,4587.18,4191.28,4211.79,4177.44,4269.23,4559.49,4311.28,3980.81,3990.05,4017.09,4178.63,4034.01,4177.5,4171.65,4005.66,4093.2,4169.67,4071.76,4110.29,3999.25,4154.05,4137.05,4175.77,4032.23,4094.25,3976.43,3957.79,3970.68,4117.25,4043.26,3980.14,4144.75,3967.07,4105.96,4178.61,4053.51,4020.76,0
4305.64,4021.54,4264.62,4117.95,4347.18,4624.62,4116.41,4629.74,4227.69,4248.72,4214.36,4292.82,4627.69,4365.64,4179.45,3989.82,4102.46,4144.22,4072.65,4157.62,4162.87,4057.09,4044.23,3974.92,4100.68,3961.67,3959.11,4039.41,4140.26,4191.19,4024.87,3973.33,4116.34,4115.83,4054.57,4140.65,3975.14,4107.37,4067.69,4128.9,4131.04,4164.67,4117.79,4076.46,1
4321.03,3934.36,4250.77,4075.9,4325.64,4607.18,4097.95,4637.95,4227.18,4262.56,4271.28,4321.54,4707.69,4422.05,4184.78,4104.86,4019.98,3975.18,4165.87,4162.25,4080.41,4027.03,4110.82,4072.24,4122.88,4041.31,4191.26,4074.65,4022.3,3968.99,4181.8,4076.69,4156.45,4080.5,4013.2,4059.37,3988.44,3955.05,4113.09,4147.79,4174.39,3951.71,4081.19,4184.25,1
4283.59,3934.87,4235.38,4078.97,4321.54,4608.21,4094.36,4630.77,4219.49,4236.41,4230.26,4287.69,4651.28,4363.08,4066.52,3975.45,3984.23,4105.59,4090.4,4183.2,3983.92,4161.44,4186.44,3996.0,4053.71,4195.73,4094.68,4177.2,3969.09,4002.53,4109.2,4116.7,4170.91,3988.09,4094.97,4191.87,4105.23,4031.28,4091.36,4187.21,4080.77,4058.37,4151.65,4187.59,1
4290.26,4009.23,4263.59,4118.97,4347.69,4621.54,4087.18,4614.36,4209.74,4244.62,4218.97,4274.87,4613.85,4377.95,4103.4,4040.56,3958.93,4161.88,4085.27,4016.41,4055.4,4162.88,4143.68,4071.71,3955.74,4172.14,4101.76,3981.29,4006.66,4038.24,4179.35,4030.22,4053.86,3969.25,4172.46,4105.86,4041.39,4193.15,4095.37,3979.41,4095.71,3950.73,4167.75,4094.87,1
4277.44,4002.56,4266.15,4126.67,4336.92,4631.79,4087.18,4624.1,4197.44,4236.41,4188.21,4268.21,4593.85,4336.92,4054.15,3969.15,4128.01,4054.35,4196.26,4149.25,4094.0,4011.68,4158.73,4141.17,4138.38,4048.48,4150.95,4002.76,4180.11,4077.11,4107.93,4099.9,3999.51,3971.8,4145.57,4158.18,4145.59,4056.59,4007.03,4035.4,3972.53,4067.96,4190.72,4047.79,1
4312.31,3973.33,4262.56,4092.31,4331.28,4598.97,4090.26,4620,4211.28,4250.26,4244.1,4305.64,4671.79,4418.97,4057.67,4135.81,4049.26,4185.35,4191.86,4039.94,4165.0,3950.4,3971.94,3975.24,4019.95,4133.95,4197.34,4033.17,4112.8,3971.89,4160.29,4052.81,4124.72,4068.24,3966.33,4098.27,4020.39,3966.89,4142.98,4152.95,4154.36,4098.02,4048.78,4052.83,1
4209.74,4060.51,4232.31,4137.95,4338.46,4614.36,4069.74,4595.9,4172.31,4193.85,4124.62,4226.15,4474.36,4233.85,4179.52,4186.75,4123.45,4151.51,4065.65,4055.05,3982.99,3984.15,4192.82,4121.72,4086.31,4149.94,4160.04,4034.82,3977.89,4059.46,4088.53,4175.06,4181.94,4067.69,4085.26,4184.73,4128.01,4074.99,3987.85,4191.41,4198.57,4128.55,3952.53,4152.27,0
4291.28,4010.26,4264.1,4121.03,4340.51,4613.85,4074.87,4621.03,4209.23,4239.49,4215.38,4281.54,4610.26,4370.26,3982.78,3955.77,4155.16,4023.56,4128.68,4116.4,4095.92,4024.91,4105.96,3999.62,4066.46,4191.05,4023.26,3964.98,4060.87,4101.85,4077.04,4180.39,3978.76,4148.64,4101.01,4142.13,4009.89,4033.27,4078.83,4083.98,4068.31,4037.51,4181.29,4134.4,1
4313.85,4041.03,4288.72,4156.92,4347.69,4620,4085.13,4597.44,4204.62,4252.31,4214.87,4281.03,4612.82,4354.36,3966.87,4192.41,4022.35,4085.28,4152.64,4118.58,4118.35,4089.19,4004.27,3998.91,4031.3,3991.34,4034.01,4197.47,4049.27,4067.99,3970.35,4013.29,4021.1,4012.06,3965.33,4056.79,3955.39,4016.0,3990.4,4133.12,4016.19,4030.27,3955.77,4109.13,1
4314.36,4009.23,4288.72,4138.97,4347.18,4613.33,4070.26,4636.41,4225.64,4251.28,4208.21,4306.67,4624.62,4386.67,3964.4,4179.18,4175.45,4051.31,4156.49,4158.54,3986.5,4167.08,4072.21,4038.8,4048.98,4147.17,4125.26,4083.21,3954.41,3992.93,4160.36,4019.28,3981.81,4127.93,4013.19,4187.01,4170.33,4121.28,3958.96,4024.83,4057.15,3992.69,4128.41,4108.96,1
4286.15,4019.49,4264.1,4111.79,4334.87,4609.23,4040.51,4592.82,4185.13,4224.62,4194.36,4275.9,4613.33,4349.74,4190.8,4089.05,3953.55,3954.88,4077.77,3976.37,4075.83,4156.92,4058.84,3989.49,4121.75,4119.15,4026.46,4079.53,3960.93,4114.02,4053.75,4114.51,4121.98,4160.1,4136.37,4044.66,4103.61,4038.7,4071.06,4042.94,4125.42,4054.93,3978.2,4033.83,1
4317.95,4008.21,4266.15,4114.87,4337.44,4620,4066.67,4622.05,4220.51,4247.69,4218.97,4286.67,4620,4378.97,4092.48,3954.34,4108.57,4187.62,4160.7,4143.64,3995.33,4117.64,4167.58,4097.43,4135.22,4012.7,4197.84,3998.64,4079.68,4071.34,4132.99,3950.39,4122.76,4113.7,4015.7,4029.73,3990.99,4195.48,4013.16,3953.67,4060.58,3998.68,3985.5,4104.13,1
4275.9,3981.03,4249.23,4099.49,4331.79,4611.28,4071.28,4628.72,4208.21,4229.74,4209.74,4275.38,4596.41,4336.92,4029.59,4025.49,3992.95,4138.55,4107.23,4079.4,4125.54,4050.79,4182.93,4115.93,4038.48,3993.38,4075.12,4054.65,3988.68,4114.37,4154.92,4053.91,4095.85,3968.5,4091.94,4140.72,3980.81,4059.54,4011.11,3989.59,4147.53,4169.5,4149.96,4017.75,0
4285.64,4028.21,4247.18,4108.72,4350.77,4620.51,4097.95,4608.21,4200.51,4231.28,4211.28,4275.38,4617.44,4342.05,4148.41,4129.53,4141.36,4007.74,4119.73,4063.52,4126.15,3991.39,4192.57,4041.9,4010.51,4090.22,4033.49,3989.84,4155.18,4015.92,4134.01,4101.51,4191.96,3973.84,4046.81,4078.92,4036.81,4067.07,4044.08,4106.72,4086.89,3984.94,3952.32,3955.38,1
4294.87,4007.18,4255.38,4120.51,4347.69,4622.56,4058.46,4610.77,4199.49,4230.26,4167.18,4266.15,4605.64,4346.15,3965.77,4078.17,3960.15,4180.87,4035.88,4020.95,3966.12,4008.11,4182.56,4041.17,4165.31,4025.1,4097.87,3972.76,4142.56,4115.71,3956.83,4141.45,4082.37,4198.64,3955.5,3971.16,4154.36,4144.94,4027.22,4182.79,4180.69,4186.3,4011.8,3976.83,1
4326.67,3994.36,4280,4117.95,4349.74,4629.74,4085.13,4610.77,4199.49,4246.15,4217.44,4297.95,4626.15,4390.26,4127.1,4005.54,4005.96,3978.19,4126.54,4061.88,4161.98,4155.18,4033.02,3976.02,4037.82,3971.4,3998.48,4107.48,4121.54,4092.2,3973.28,4086.15,4126.79,4020.41,4043.13,4161.14,4117.44,4093.63,4069.71,3984.87,3953.77,4175.11,4091.5,4179.69,1
4308.21,4016.41,4270.77,4123.59,4340.51,4629.74,4075.9,4626.15,4208.72,4231.28,4205.13,4278.97,4611.28,4369.74,4074.99,4056.68,4017.55,4192.61,3958.75,4103.59,4023.17,4054.84,3982.94,4114.54,3969.23,4088.41,3990.21,4040.04,4065.0,3951.82,4011.04,4091.28,3994.27,4017.42,4080.87,4147.75,4048.37,4167.99,4193.57,4140.27,3954.03,4120.91,4064.19,3985.3,1
4301.54,4021.03,4256.41,4124.1,4353.33,4571.28,4087.18,4608.72,4194.36,4237.44,4212.31,4283.08,4602.56,4357.44,4109.09,4130.44,4120.02,4042.87,4057.3,4035.35,4009.63,4030.03,4136.6,3983.48,4050.59,4185.76,4121.31,3975.96,4142.13,3967.56,3999.28,4187.84,4178.57,4074.22,4013.39,4083.64,4059.46,4065.91,4057.21,4138.38,4098.12,3971.22,3989.26,4174.95,0
4348.72,4036.92,4258.46,4131.79,4333.33,4614.36,4055.38,4593.85,4183.08,4235.38,4200,4273.85,4609.23,4395.9,4038.22,3966.91,4108.03,3986.88,4117.42,4027.87,4019.19,4091.36,4046.29,4173.79,4019.28,4064.19,4015.12,4102.82,3997.7,4054.65,4122.65,3995.37,4099.07,4011.96,3951.93,4112.57,3962.92,4021.87,4026.62,4071.8,4167.41,3956.26,3950.2,4185.03,0
