@Relation EEG_Data_Training

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4293.85, 3977.44, 4262.56, 4119.49, 4334.87, 4621.03, 4071.79, 4635.38, 4216.92, 4235.38, 4194.36, 4283.59, 4581.54, 4350.77, 1
4323.59, 4068.72, 4287.18, 4153.85, 4347.69, 4625.64, 4087.18, 4602.56, 4193.33, 4226.67, 4195.9, 4284.1, 4577.95, 4351.28, 1
4316.41, 4014.36, 4256.92, 4124.1, 4327.18, 4596.41, 4052.31, 4582.05, 4172.82, 4206.67, 4188.21, 4275.38, 4594.87, 4378.97, 1
4268.21, 3976.41, 4247.69, 4111.28, 4328.21, 4595.9, 4039.49, 4619.49, 4208.72, 4215.38, 4191.79, 4264.1, 4574.87, 4330.77, 1
4284.62, 3998.46, 4253.33, 4124.1, 4321.03, 4613.33, 4043.08, 4597.95, 4188.72, 4216.41, 4186.15, 4269.74, 4601.03, 4329.23, 1
4307.18, 4021.03, 4264.62, 4112.82, 4343.59, 4623.59, 4106.67, 4623.59, 4220, 4238.97, 4212.82, 4295.9, 4624.62, 4368.21, 1
4311.28, 4045.64, 4268.72, 4141.54, 4341.03, 4586.67, 4086.15, 4607.69, 4198.97, 4233.85, 4180.51, 4287.69, 4605.64, 4354.36, 0
4302.56, 4017.95, 4247.69, 4120.51, 4345.64, 4632.31, 4074.36, 4602.56, 4197.95, 4237.95, 4195.38, 4268.21, 4593.33, 4371.28, 0
4328.21, 4050.26, 4280.51, 4154.36, 4349.23, 4612.31, 4067.69, 4598.97, 4193.85, 4248.72, 4217.95, 4281.54, 4629.23, 4377.95, 1
4337.95, 3980, 4265.64, 4104.62, 4336.41, 4631.28, 4112.82, 4636.92, 4224.1, 4244.1, 4243.08, 4315.9, 4656.41, 4405.13, 1
4288.21, 3996.92, 4249.74, 4120, 4328.72, 4597.44, 4077.95, 4607.18, 4191.79, 4226.15, 4204.1, 4283.59, 4606.15, 4349.23, 0
4298.46, 4034.36, 4265.13, 4135.38, 4327.69, 4586.67, 4088.21, 4597.95, 4195.38, 4223.08, 4162.56, 4282.05, 4592.82, 4349.74, 0
4312.31, 4009.23, 4268.21, 4113.85, 4339.49, 4615.38, 4056.41, 4608.21, 4194.87, 4233.85, 4212.82, 4285.64, 4607.18, 4361.54, 1
4315.9, 4022.05, 4264.1, 4109.23, 4351.79, 4633.33, 4084.62, 4628.72, 4226.67, 4263.59, 4229.74, 4295.9, 4629.74, 4377.95, 0
4281.54, 4032.31, 4249.23, 4123.08, 4351.79, 4633.85, 4090.77, 4611.79, 4207.69, 4229.74, 4191.79, 4269.23, 4577.44, 4333.33, 0
4270.26, 3949.74, 4216.41, 4083.59, 4334.36, 4601.54, 4067.18, 4594.87, 4175.38, 4217.95, 4170.77, 4247.18, 4567.18, 4317.44, 1
4296.92, 4008.72, 4261.54, 4105.13, 4335.9, 4604.62, 4037.95, 4600, 4190.77, 4222.56, 4202.56, 4263.59, 4610.26, 4346.67, 1
4412.82, 4042.05, 4275.9, 4147.18, 4317.95, 4593.33, 4066.15, 4589.74, 4187.69, 4237.44, 4196.41, 4304.1, 4697.95, 4482.05, 0
4359.49, 4006.67, 4278.46, 4115.38, 4337.95, 4630.77, 4106.15, 4632.82, 4224.1, 4238.46, 4242.05, 4317.44, 4649.23, 4420.51, 1
4288.21, 4005.64, 4260.51, 4112.31, 4331.28, 4606.15, 4054.36, 4602.56, 4182.56, 4219.49, 4195.38, 4267.18, 4589.23, 4345.64, 1
4303.08, 4013.85, 4256.41, 4132.82, 4334.87, 4603.59, 4056.41, 4597.95, 4194.36, 4211.79, 4177.44, 4270.26, 4581.54, 4354.36, 1
4310.77, 4003.08, 4272.82, 4132.82, 4354.36, 4626.15, 4084.62, 4636.92, 4228.21, 4274.36, 4228.21, 4288.72, 4643.08, 4381.03, 1
4271.79, 3976.41, 4252.82, 4112.82, 4329.23, 4594.36, 4034.87, 4613.33, 4197.95, 4210.77, 4194.87, 4268.21, 4577.44, 4331.79, 1
4297.95, 3975.38, 4259.49, 4122.56, 4333.85, 4616.41, 4083.59, 4604.1, 4203.08, 4229.74, 4203.08, 4283.08, 4605.13, 4354.87, 0
4317.95, 3995.9, 4283.08, 4108.21, 4330.26, 4608.72, 4076.41, 4630.77, 4222.05, 4240, 4205.13, 4285.13, 4593.33, 4371.28, 1
4253.33, 4026.67, 4251.79, 4136.41, 4346.67, 4614.36, 4050.26, 4594.36, 4174.36, 4184.62, 4140.51, 4255.38, 4499.49, 4296.41, 0
4309.74, 4008.21, 4281.03, 4141.03, 4334.36, 4602.05, 4084.62, 4618.97, 4212.82, 4242.05, 4213.33, 4289.74, 4625.64, 4363.59, 0
4287.18, 3970.77, 4254.36, 4111.79, 4348.72, 4618.46, 4082.05, 4614.87, 4198.97, 4237.44, 4195.9, 4269.74, 4598.46, 4348.21, 1
4487.69, 4153.33, 4298.97, 4178.97, 4348.72, 4599.49, 4069.74, 4591.28, 4185.13, 4234.87, 4268.72, 4337.95, 4728.21, 4521.54, 0
4292.82, 3998.97, 4235.9, 4104.1, 4334.36, 4620.51, 4080.51, 4602.05, 4192.31, 4228.72, 4190.77, 4273.33, 4590.26, 4364.1, 0
4297.44, 4018.97, 4278.46, 4143.08, 4345.13, 4622.56, 4087.69, 4606.67, 4209.74, 4246.67, 4204.62, 4283.08, 4602.56, 4351.28, 1
4283.59, 4007.18, 4253.85, 4102.05, 4336.41, 4607.69, 4053.33, 4593.33, 4184.62, 4225.64, 4199.49, 4273.33, 4624.62, 4340, 1
4320, 4038.46, 4271.79, 4122.05, 4345.13, 4621.03, 4104.1, 4613.85, 4208.72, 4240.51, 4225.13, 4292.82, 4627.69, 4373.33, 1
4276.92, 3987.69, 4246.67, 4104.62, 4321.03, 4599.49, 4053.33, 4615.38, 4201.54, 4223.59, 4212.31, 4277.44, 4598.97, 4347.69, 1
4315.38, 4008.72, 4283.59, 4125.13, 4335.9, 4603.08, 4056.92, 4612.31, 4206.67, 4241.54, 4189.23, 4287.69, 4615.38, 4378.46, 1
4359.49, 3983.08, 4282.05, 4106.67, 4326.67, 4589.74, 4083.59, 4617.44, 4213.85, 4251.79, 4260.51, 4313.85, 4707.69, 4456.41, 1
4280.51, 3990.77, 4266.15, 4091.79, 4333.85, 4614.87, 4080, 4622.05, 4205.64, 4235.9, 4204.62, 4281.03, 4594.87, 4344.1, 0
4290.77, 3988.21, 4262.05, 4120, 4329.23, 4626.15, 4064.1, 4625.64, 4214.87, 4247.18, 4221.54, 4290.26, 4621.54, 4367.18, 0
4291.28, 3992.82, 4266.67, 4121.54, 4331.79, 4624.1, 4065.13, 4625.64, 4208.21, 4251.79, 4225.13, 4290.26, 4627.18, 4372.31, 0
4269.74, 3965.13, 4237.95, 4091.28, 4337.44, 4608.72, 4072.31, 4605.64, 4194.36, 4226.15, 4185.64, 4257.44, 4585.13, 4328.72, 1
4302.05, 4010.77, 4262.56, 4119.49, 4331.79, 4617.95, 4072.82, 4616.92, 4200.51, 4217.44, 4188.21, 4260.51, 4592.31, 4353.85, 1
4347.69, 4040, 4271.28, 4122.05, 4318.46, 4617.44, 4063.59, 4609.23, 4206.67, 4227.69, 4215.9, 4288.72, 4634.36, 4406.15, 0
4446.15, 4091.28, 4295.9, 4152.82, 4352.82, 4629.74, 4072.31, 4610.77, 4204.1, 4266.67, 4245.13, 4314.87, 4676.92, 4479.49, 0
4265.13, 4006.67, 4248.72, 4119.49, 4324.1, 4614.36, 4063.59, 4589.74, 4175.9, 4217.95, 4178.97, 4256.92, 4587.18, 4317.95, 0
4270.77, 4006.15, 4255.38, 4118.97, 4330.77, 4620, 4070.26, 4608.72, 4194.87, 4227.69, 4185.13, 4269.74, 4589.23, 4331.28, 0
4315.38, 4041.03, 4263.59, 4123.08, 4351.28, 4635.38, 4108.21, 4645.13, 4236.92, 4242.05, 4223.08, 4292.31, 4621.54, 4368.21, 1
4323.08, 4041.03, 4265.64, 4123.08, 4346.15, 4615.38, 4104.1, 4626.67, 4229.23, 4244.62, 4232.82, 4293.85, 4628.21, 4378.46, 1
4280, 3982.56, 4249.74, 4117.44, 4342.56, 4611.79, 4068.72, 4606.67, 4190.77, 4229.74, 4194.36, 4265.13, 4600.51, 4347.18, 1
4276.92, 3983.59, 4260, 4119.49, 4348.21, 4625.13, 4072.82, 4628.21, 4209.74, 4232.31, 4211.28, 4281.03, 4606.67, 4341.54, 0
4287.69, 4009.23, 4260, 4119.49, 4326.15, 4614.36, 4044.62, 4594.87, 4189.23, 4219.49, 4192.82, 4269.74, 4612.31, 4352.82, 1
4309.23, 4008.72, 4266.15, 4110.26, 4339.49, 4611.79, 4063.59, 4618.46, 4192.31, 4241.54, 4200.51, 4283.59, 4612.31, 4371.79, 1
4294.36, 3993.85, 4265.64, 4110.77, 4342.05, 4620.51, 4069.74, 4625.13, 4203.08, 4234.87, 4210.77, 4286.67, 4602.56, 4364.1, 0
4387.18, 4019.49, 4266.67, 4135.9, 4317.95, 4587.18, 4051.28, 4598.46, 4193.85, 4232.82, 4193.33, 4307.18, 4697.95, 4470.77, 0
4290.26, 3988.72, 4249.74, 4098.46, 4323.08, 4628.72, 4083.08, 4625.64, 4216.92, 4247.69, 4204.1, 4278.46, 4593.33, 4366.67, 0
4276.92, 3988.21, 4247.69, 4121.54, 4319.49, 4616.41, 4038.97, 4590.77, 4177.44, 4218.97, 4191.79, 4264.1, 4602.56, 4349.23, 0
4304.62, 4001.54, 4253.33, 4136.92, 4326.15, 4618.46, 4051.79, 4609.23, 4190.77, 4233.33, 4221.03, 4286.67, 4629.23, 4374.36, 0
4294.36, 3972.82, 4247.69, 4080, 4330.77, 4614.87, 4099.49, 4629.74, 4216.41, 4229.23, 4172.82, 4290.77, 4604.62, 4359.49, 1
4301.54, 4004.62, 4262.05, 4112.82, 4335.9, 4612.82, 4069.23, 4625.13, 4201.03, 4234.36, 4190.26, 4276.41, 4601.03, 4361.54, 1
4265.13, 3969.74, 4235.9, 4088.72, 4329.74, 4610.26, 4062.05, 4599.49, 4189.23, 4225.64, 4189.23, 4265.64, 4595.38, 4337.44, 1
4292.31, 3972.31, 4253.33, 4120, 4333.33, 4615.9, 4079.49, 4590.77, 4182.05, 4213.85, 4195.38, 4275.38, 4601.54, 4348.21, 0
4272.82, 3933.85, 4244.62, 4085.64, 4326.67, 4611.28, 4106.15, 4640, 4229.23, 4241.54, 4232.82, 4299.49, 4642.05, 4353.33, 1
4282.56, 4007.69, 4248.21, 4117.44, 4328.21, 4623.08, 4089.74, 4612.82, 4200, 4215.9, 4177.44, 4259.49, 4568.21, 4330.26, 0
4309.23, 4007.69, 4276.41, 4134.36, 4326.67, 4617.44, 4077.95, 4620.51, 4206.15, 4235.9, 4204.1, 4292.31, 4620.51, 4385.13, 1
4327.18, 4010.77, 4295.38, 4128.21, 4338.97, 4629.23, 4076.92, 4633.85, 4207.69, 4248.21, 4219.49, 4296.41, 4605.13, 4375.38, 1
4283.08, 3961.03, 4268.21, 4115.38, 4332.31, 4618.97, 4077.44, 4640.51, 4235.9, 4241.54, 4207.69, 4289.23, 4591.28, 4351.79, 1
4278.97, 4002.05, 4260.51, 4132.31, 4324.62, 4616.41, 4046.15, 4608.72, 4196.92, 4217.44, 4192.31, 4267.69, 4603.08, 4330.77, 1
4310.77, 4003.59, 4271.28, 4120.51, 4343.59, 4618.46, 4078.46, 4636.92, 4203.08, 4235.9, 4193.85, 4280, 4595.38, 4366.67, 1
4290.26, 4012.31, 4246.15, 4108.72, 4347.69, 4624.62, 4066.15, 4604.1, 4188.72, 4232.82, 4198.46, 4262.56, 4603.08, 4352.82, 0
4288.21, 4023.59, 4263.59, 4136.41, 4344.1, 4636.41, 4070.77, 4602.05, 4192.31, 4236.41, 4195.38, 4275.9, 4603.08, 4343.59, 0
4262.05, 3977.95, 4262.56, 4109.74, 4342.05, 4639.49, 4104.1, 4635.9, 4225.13, 4241.03, 4201.03, 4286.15, 4595.38, 4344.62, 0
4211.79, 4011.79, 4231.79, 4108.21, 4339.49, 4624.62, 4082.05, 4603.08, 4186.15, 4213.85, 4162.05, 4235.9, 4537.95, 4257.95, 1
4362.56, 3988.72, 4263.59, 4127.18, 4347.18, 4603.08, 4069.74, 4596.41, 4195.38, 4236.92, 4211.79, 4292.31, 4620, 4416.92, 1
4312.31, 3962.05, 4262.56, 4108.21, 4339.49, 4621.54, 4103.59, 4637.95, 4221.54, 4243.08, 4234.87, 4312.82, 4655.38, 4392.82, 1
4295.9, 3954.36, 4245.64, 4089.23, 4335.38, 4606.15, 4076.92, 4602.56, 4193.85, 4227.69, 4183.08, 4267.69, 4577.44, 4343.59, 1
4267.69, 3989.74, 4227.18, 4105.64, 4325.64, 4612.82, 4041.03, 4588.21, 4183.59, 4215.38, 4186.67, 4249.74, 4611.28, 4322.05, 1
4288.72, 3993.33, 4247.69, 4105.64, 4328.72, 4609.74, 4064.62, 4607.18, 4192.31, 4217.44, 4188.21, 4270.26, 4597.95, 4341.03, 1
4304.1, 4004.62, 4272.31, 4120, 4336.41, 4595.9, 4034.36, 4603.08, 4185.64, 4226.67, 4201.54, 4277.95, 4613.33, 4346.67, 1
4296.41, 4005.13, 4250.26, 4106.15, 4348.72, 4627.69, 4069.23, 4600, 4185.64, 4228.21, 4194.87, 4273.33, 4591.79, 4366.67, 0
4323.59, 4049.74, 4282.56, 4143.08, 4348.72, 4632.82, 4072.82, 4598.97, 4189.23, 4237.44, 4209.23, 4288.21, 4608.72, 4381.03, 1
4295.9, 4026.15, 4274.87, 4121.54, 4327.18, 4629.23, 4097.44, 4609.23, 4200.51, 4227.69, 4200.51, 4291.28, 4594.87, 4367.69, 0
4305.13, 4008.72, 4265.64, 4123.59, 4330.26, 4608.21, 4067.69, 4588.72, 4173.85, 4210.77, 4142.56, 4271.79, 4594.87, 4353.85, 0
4317.95, 4036.92, 4266.67, 4124.62, 4347.69, 4617.44, 4103.59, 4609.74, 4207.18, 4222.56, 4209.74, 4287.18, 4622.05, 4367.69, 1
4262.05, 4004.62, 4249.23, 4118.46, 4333.33, 4635.38, 4076.92, 4610.77, 4193.33, 4221.54, 4173.85, 4256.41, 4576.92, 4317.95, 0
4318.46, 4018.46, 4279.49, 4136.41, 4332.31, 4624.62, 4087.18, 4614.36, 4199.49, 4227.18, 4197.95, 4289.74, 4591.28, 4362.05, 0
4296.92, 4034.36, 4263.08, 4139.49, 4329.23, 4577.44, 4069.23, 4589.74, 4182.05, 4222.56, 4172.31, 4278.46, 4600.51, 4353.33, 0
4323.08, 4021.03, 4268.72, 4108.72, 4341.54, 4613.85, 4049.74, 4596.41, 4192.31, 4223.08, 4210.26, 4270.26, 4618.97, 4365.64, 1
4291.79, 4000.51, 4246.15, 4103.08, 4331.28, 4627.69, 4079.49, 4602.05, 4193.33, 4239.49, 4193.85, 4274.87, 4590.26, 4370.77, 0
4312.82, 4010.26, 4282.05, 4129.74, 4331.28, 4606.67, 4108.72, 4628.72, 4212.31, 4233.85, 4221.54, 4300, 4629.74, 4380, 0
4269.74, 4025.13, 4249.74, 4136.41, 4341.54, 4621.54, 4111.28, 4608.72, 4211.79, 4214.36, 4172.82, 4268.72, 4544.62, 4316.41, 1
4314.87, 3998.46, 4278.46, 4122.05, 4329.74, 4627.18, 4081.03, 4628.72, 4212.82, 4224.1, 4193.85, 4284.1, 4583.08, 4348.72, 1
4336.41, 4029.74, 4269.23, 4123.59, 4349.23, 4625.64, 4075.9, 4608.72, 4205.64, 4251.79, 4218.46, 4285.64, 4620, 4389.23, 0
4206.67, 3957.44, 4215.9, 4089.23, 4332.31, 4614.36, 4075.38, 4588.72, 4185.64, 4205.64, 4169.74, 4248.21, 4536.92, 4272.31, 0
4280, 3982.56, 4264.1, 4119.49, 4333.33, 4597.95, 4042.05, 4618.97, 4205.13, 4221.03, 4211.79, 4283.59, 4592.82, 4351.79, 1
4231.79, 4047.18, 4229.23, 4137.44, 4334.36, 4612.82, 4054.36, 4579.49, 4170.26, 4198.97, 4131.79, 4226.15, 4509.23, 4264.1, 0
4273.33, 3968.21, 4231.28, 4098.46, 4341.03, 4614.36, 4066.67, 4597.44, 4184.1, 4216.92, 4175.9, 4253.85, 4586.67, 4332.82, 1
4284.62, 3985.64, 4256.92, 4106.67, 4328.21, 4618.97, 4064.62, 4615.9, 4203.59, 4236.92, 4206.15, 4282.56, 4607.18, 4362.56, 0
4309.23, 4004.62, 4264.62, 4136.92, 4338.97, 4608.72, 4085.13, 4629.23, 4215.9, 4230.26, 4217.95, 4286.67, 4622.56, 4361.03, 0
4276.41, 3995.9, 4251.79, 4118.97, 4324.62, 4616.92, 4046.67, 4606.67, 4188.72, 4210.77, 4176.92, 4258.46, 4595.38, 4330.26, 1
4394.36, 4025.64, 4264.62, 4140.51, 4350.26, 4615.9, 4075.9, 4588.21, 4183.59, 4241.03, 4232.82, 4299.49, 4654.87, 4451.28, 1
4280.51, 3997.95, 4252.31, 4107.69, 4321.54, 4596.41, 4035.9, 4610.26, 4186.67, 4203.59, 4190.26, 4270.26, 4582.56, 4342.56, 1
4340, 3977.44, 4262.05, 4132.31, 4326.15, 4617.95, 4084.1, 4609.74, 4194.36, 4232.82, 4181.03, 4296.41, 4636.41, 4409.23, 1
4312.82, 4007.69, 4270.77, 4124.1, 4348.72, 4625.13, 4077.44, 4632.31, 4213.85, 4242.05, 4205.13, 4284.62, 4610.26, 4377.95, 1
4314.36, 4028.72, 4266.15, 4125.13, 4355.9, 4627.69, 4109.74, 4606.15, 4210.77, 4236.41, 4206.67, 4284.62, 4623.08, 4371.79, 1
4310.77, 4024.1, 4263.59, 4122.56, 4346.15, 4612.82, 4056.41, 4613.33, 4195.9, 4224.1, 4196.41, 4268.21, 4602.56, 4365.13, 1
4276.92, 3984.62, 4246.15, 4106.15, 4335.38, 4618.46, 4054.36, 4632.82, 4225.64, 4248.21, 4204.62, 4274.87, 4587.69, 4340.51, 1
4311.28, 4037.44, 4260, 4141.54, 4332.82, 4609.23, 4051.28, 4583.59, 4170.77, 4185.64, 4166.15, 4264.62, 4563.08, 4357.44, 1
4279.49, 4009.23, 4256.92, 4108.21, 4333.33, 4607.69, 4037.44, 4597.95, 4181.54, 4221.54, 4194.87, 4263.59, 4617.44, 4340, 1
4353.85, 4070.26, 4282.05, 4140.51, 4360, 4624.1, 4109.74, 4608.72, 4206.67, 4225.13, 4206.67, 4287.18, 4615.9, 4392.82, 1
4300.51, 4016.41, 4257.44, 4108.21, 4345.13, 4629.74, 4091.28, 4611.79, 4199.49, 4238.97, 4199.49, 4280, 4592.82, 4359.49, 0
4303.59, 4023.59, 4263.08, 4140, 4320.51, 4588.72, 4081.54, 4605.64, 4196.41, 4229.23, 4178.46, 4284.62, 4600, 4352.31, 0
4287.18, 4003.08, 4266.15, 4127.18, 4333.85, 4613.85, 4066.15, 4613.33, 4202.56, 4230.26, 4208.72, 4287.18, 4610.77, 4352.82, 0
4277.95, 4011.79, 4263.08, 4110.26, 4344.1, 4622.56, 4061.03, 4605.13, 4188.21, 4215.38, 4189.74, 4265.13, 4610.77, 4331.28, 1
4316.92, 4025.64, 4280.51, 4140, 4345.13, 4625.64, 4055.38, 4623.08, 4220.51, 4244.62, 4226.67, 4290.77, 4631.28, 4383.59, 1
4288.72, 3929.23, 4245.64, 4075.9, 4331.79, 4603.08, 4087.18, 4629.74, 4222.05, 4238.46, 4239.49, 4299.49, 4666.15, 4386.67, 1
4277.95, 4009.23, 4245.13, 4092.82, 4345.13, 4616.41, 4102.56, 4618.46, 4212.82, 4233.33, 4211.28, 4275.9, 4605.13, 4340.51, 1
4314.36, 4009.23, 4271.28, 4137.44, 4334.87, 4604.62, 4097.95, 4613.85, 4201.54, 4224.62, 4206.67, 4283.59, 4626.67, 4370.26, 0
4257.95, 3970.77, 4230.77, 4089.74, 4332.82, 4609.74, 4063.59, 4586.15, 4172.82, 4215.38, 4191.28, 4256.41, 4597.95, 4337.95, 1
4281.54, 3960.51, 4272.82, 4119.49, 4331.28, 4621.54, 4079.49, 4645.64, 4233.33, 4245.13, 4207.69, 4290.77, 4588.72, 4344.62, 1
4274.36, 3967.69, 4247.18, 4100, 4321.54, 4610.26, 4078.97, 4605.13, 4187.69, 4225.13, 4189.74, 4268.21, 4582.05, 4333.85, 0
4274.36, 3985.13, 4256.92, 4109.23, 4343.08, 4617.44, 4070.77, 4600.51, 4185.64, 4225.13, 4192.82, 4275.38, 4605.64, 4353.85, 1
4298.97, 4018.46, 4277.95, 4138.97, 4341.54, 4620.51, 4088.72, 4610.77, 4206.15, 4244.62, 4205.13, 4285.64, 4609.23, 4354.87, 1
4261.54, 3973.33, 4245.13, 4110.26, 4326.67, 4596.92, 4039.49, 4608.21, 4201.03, 4212.31, 4198.97, 4265.64, 4587.18, 4344.1, 1
4283.08, 4003.59, 4242.05, 4119.49, 4330.77, 4616.41, 4076.41, 4599.49, 4195.38, 4232.82, 4191.79, 4257.95, 4588.21, 4328.72, 1
4291.28, 3997.44, 4262.05, 4118.46, 4329.23, 4617.44, 4053.33, 4627.18, 4206.15, 4225.13, 4195.9, 4279.49, 4605.13, 4353.85, 0
4323.59, 4038.97, 4283.08, 4141.54, 4340, 4613.33, 4055.9, 4600.51, 4182.05, 4190.26, 4169.23, 4280, 4545.64, 4352.31, 1
4307.18, 4008.72, 4264.62, 4117.44, 4335.9, 4614.87, 4062.05, 4618.97, 4198.97, 4231.28, 4181.03, 4278.97, 4607.69, 4369.23, 1
4286.15, 3936.92, 4249.74, 4087.69, 4327.18, 4609.23, 4101.03, 4631.79, 4226.67, 4253.85, 4245.64, 4306.67, 4660, 4371.79, 1
4288.72, 3993.85, 4257.95, 4114.36, 4327.18, 4620.51, 4066.15, 4621.03, 4209.74, 4249.23, 4226.67, 4289.74, 4630.26, 4371.79, 0
4254.36, 3988.72, 4234.87, 4105.64, 4342.05, 4608.21, 4070.26, 4593.33, 4177.95, 4217.44, 4181.54, 4253.85, 4597.95, 4329.23, 1
