@Relation EEGDataTesting_84

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE Feature25 NUMERIC
@ATTRIBUTE Feature26 NUMERIC
@ATTRIBUTE Feature27 NUMERIC
@ATTRIBUTE Feature28 NUMERIC
@ATTRIBUTE Feature29 NUMERIC
@ATTRIBUTE Feature30 NUMERIC
@ATTRIBUTE Feature31 NUMERIC
@ATTRIBUTE Feature32 NUMERIC
@ATTRIBUTE Feature33 NUMERIC
@ATTRIBUTE Feature34 NUMERIC
@ATTRIBUTE Feature35 NUMERIC
@ATTRIBUTE Feature36 NUMERIC
@ATTRIBUTE Feature37 NUMERIC
@ATTRIBUTE Feature38 NUMERIC
@ATTRIBUTE Feature39 NUMERIC
@ATTRIBUTE Feature40 NUMERIC
@ATTRIBUTE Feature41 NUMERIC
@ATTRIBUTE Feature42 NUMERIC
@ATTRIBUTE Feature43 NUMERIC
@ATTRIBUTE Feature44 NUMERIC
@ATTRIBUTE Feature45 NUMERIC
@ATTRIBUTE Feature46 NUMERIC
@ATTRIBUTE Feature47 NUMERIC
@ATTRIBUTE Feature48 NUMERIC
@ATTRIBUTE Feature49 NUMERIC
@ATTRIBUTE Feature50 NUMERIC
@ATTRIBUTE Feature51 NUMERIC
@ATTRIBUTE Feature52 NUMERIC
@ATTRIBUTE Feature53 NUMERIC
@ATTRIBUTE Feature54 NUMERIC
@ATTRIBUTE Feature55 NUMERIC
@ATTRIBUTE Feature56 NUMERIC
@ATTRIBUTE Feature57 NUMERIC
@ATTRIBUTE Feature58 NUMERIC
@ATTRIBUTE Feature59 NUMERIC
@ATTRIBUTE Feature60 NUMERIC
@ATTRIBUTE Feature61 NUMERIC
@ATTRIBUTE Feature62 NUMERIC
@ATTRIBUTE Feature63 NUMERIC
@ATTRIBUTE Feature64 NUMERIC
@ATTRIBUTE Feature65 NUMERIC
@ATTRIBUTE Feature66 NUMERIC
@ATTRIBUTE Feature67 NUMERIC
@ATTRIBUTE Feature68 NUMERIC
@ATTRIBUTE Feature69 NUMERIC
@ATTRIBUTE Feature70 NUMERIC
@ATTRIBUTE Feature71 NUMERIC
@ATTRIBUTE Feature72 NUMERIC
@ATTRIBUTE Feature73 NUMERIC
@ATTRIBUTE Feature74 NUMERIC
@ATTRIBUTE Feature75 NUMERIC
@ATTRIBUTE Feature76 NUMERIC
@ATTRIBUTE Feature77 NUMERIC
@ATTRIBUTE Feature78 NUMERIC
@ATTRIBUTE Feature79 NUMERIC
@ATTRIBUTE Feature80 NUMERIC
@ATTRIBUTE Feature81 NUMERIC
@ATTRIBUTE Feature82 NUMERIC
@ATTRIBUTE Feature83 NUMERIC
@ATTRIBUTE Feature84 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4286.15,3991.28,4247.18,4110.77,4336.92,4612.82,4057.44,4604.62,4187.18,4223.08,4195.9,4264.1,4585.64,4344.1,4183.55,4120.31,3973.01,4098.43,4036.06,4131.36,3973.56,4008.46,4103.59,4111.37,3992.47,4147.73,4196.18,4033.06,4013.43,4010.17,4079.07,4134.06,4151.56,3963.46,4004.03,4080.22,4116.16,4054.76,4040.98,4033.35,4033.27,3976.71,4115.68,4078.8,4175.55,4088.5,3978.14,3992.97,3967.37,3951.84,4196.29,4121.06,3998.68,4189.23,4130.44,4015.96,4137.16,4033.38,4111.88,4000.65,4189.64,3999.41,4084.66,4074.11,3989.67,4193.94,4090.65,4113.64,4168.36,3980.62,4163.02,4166.42,4178.49,4160.59,4095.19,4117.12,3954.35,4181.85,4189.89,4178.05,4193.72,4150.79,3956.99,4059.28,1
4329.23,4002.56,4285.64,4131.79,4355.9,4634.87,4087.69,4626.67,4220,4265.13,4228.72,4308.21,4637.95,4389.23,4007.99,4102.36,4154.19,4084.19,3990.67,4039.93,4067.95,4056.14,4064.97,4078.77,4138.44,4076.22,4136.88,4109.7,4146.15,4178.6,4199.0,4045.46,4194.18,4061.01,4118.19,3974.64,4177.02,4071.18,4141.63,4106.88,4166.67,4144.99,4119.27,4125.94,4025.21,4037.87,3973.64,4142.07,4011.75,4197.1,4011.07,4017.16,4072.07,3987.86,4147.46,4087.11,3971.2,4148.98,3953.69,4162.08,4120.75,4062.2,4120.06,4094.01,4077.34,3977.9,4027.04,4196.14,4011.47,4042.75,4139.37,4169.18,4083.05,4179.08,4002.58,3980.05,4104.96,4043.04,3970.13,3967.53,4031.98,3988.67,4097.61,4124.53,1
4303.59,4026.15,4255.38,4124.1,4352.82,4600.51,4092.82,4610.26,4205.13,4232.82,4201.54,4274.36,4601.03,4352.31,4005.78,3989.49,3996.25,4077.05,4080.08,4064.97,4006.49,3965.06,4123.57,4142.68,4197.57,4101.53,4033.98,4131.12,4177.53,4165.29,4069.07,4048.51,3955.61,4069.25,4168.16,3987.63,4163.27,3982.08,4075.07,3986.33,4137.85,4040.92,4038.01,3985.01,4005.37,4090.6,4060.59,4009.52,4161.23,4000.88,4156.23,4037.97,3985.12,4172.1,4120.07,4126.63,4105.77,4160.83,4097.35,4099.11,4029.08,4042.35,4034.9,4103.44,4149.47,4074.94,3993.38,4111.27,4117.33,4101.33,4094.89,3956.85,4033.26,3985.26,4047.9,4144.85,4198.35,4142.24,4058.48,4118.88,4140.96,3969.84,4151.21,4044.39,0
4274.87,3982.56,4241.54,4096.92,4320.51,4603.08,4054.87,4624.62,4211.79,4223.08,4205.13,4270.26,4592.31,4341.03,3959.38,4106.57,3978.78,4128.59,3998.84,4043.71,4030.53,4178.43,3950.72,3969.13,4035.1,4163.19,4008.56,4037.49,3976.98,3996.99,4146.52,3976.16,4108.21,4183.59,4105.04,3979.16,4180.65,4110.15,4199.91,4113.45,3995.75,3958.46,4083.38,4012.46,4021.14,4199.69,4119.23,4024.52,4006.15,3998.09,4028.77,4103.52,4195.41,3950.04,4057.21,3968.69,4038.84,4141.33,3962.06,4029.92,4125.26,4059.47,3960.39,4062.02,4069.67,4060.18,4073.68,4039.33,4025.39,3952.81,4012.26,3950.69,4059.75,4135.14,3984.66,4013.89,4077.26,4007.33,4184.48,4160.49,4091.45,4027.48,4034.77,3972.16,1
4311.28,4019.49,4264.62,4105.64,4335.9,4618.46,4104.62,4613.33,4209.23,4226.15,4208.72,4293.33,4617.44,4368.72,4054.51,4192.39,4151.11,4061.74,4156.14,4188.25,3976.26,3962.83,3995.28,3979.44,4095.25,4042.8,3952.71,4059.21,4062.44,4180.85,3984.67,4042.61,3972.96,4035.82,4097.36,4047.68,4032.8,4161.9,4199.91,4052.21,4068.02,4145.76,4086.19,3963.21,4118.79,4167.45,4183.25,4167.99,4005.49,3966.79,4197.64,3971.54,4154.41,4024.42,4143.19,4177.19,4032.38,3971.22,4056.37,4046.18,4193.7,4167.88,4142.34,4127.12,4174.35,4137.2,4058.25,4004.93,4095.63,3996.79,4020.87,3973.72,4010.87,4197.92,3999.06,4069.56,4034.64,4077.28,4095.35,3958.71,4041.94,4141.95,4104.74,4166.6,1
4292.82,4024.62,4263.59,4133.33,4321.54,4585.13,4089.23,4596.41,4182.05,4215.38,4156.41,4279.49,4581.03,4352.82,4159.18,4050.49,4130.9,4051.79,3982.43,3982.03,4174.83,4069.24,3986.57,4103.96,3985.59,4139.67,4163.09,4029.52,4178.49,4002.74,4170.21,4101.3,3974.1,4108.47,4002.15,4050.48,4140.01,4031.85,4168.7,4148.97,4198.31,3976.12,4047.88,3992.29,4008.93,4079.65,4124.58,4167.57,4129.59,4027.16,4009.15,4144.78,4021.72,4194.25,4049.47,3969.84,4038.15,4108.05,4160.9,4068.87,4025.37,4036.07,3961.95,3968.91,4054.34,4112.98,4195.03,4124.19,4045.32,4046.92,4089.36,4092.43,4122.96,4195.02,4184.81,4088.77,4167.54,4125.03,4176.99,4164.12,4135.96,4161.86,4133.27,4004.58,0
4363.59,3996.92,4285.13,4138.97,4363.08,4640.51,4085.13,4616.41,4200.51,4266.15,4226.15,4302.56,4640,4413.85,4104.51,4161.57,4129.9,4162.47,4048.45,4140.0,4046.45,4126.44,3963.32,4103.14,4053.12,4082.62,4184.95,3979.48,4111.29,3980.35,3991.26,4044.55,4061.33,4153.2,3993.01,4043.23,4132.47,4181.97,4181.56,4037.15,4134.89,4041.67,4008.45,3985.37,4077.34,3979.66,3991.94,4139.37,4130.91,4035.48,3976.62,4183.38,4061.03,4107.87,4088.63,4122.94,3993.97,4023.75,4109.17,4069.52,3972.6,4123.73,4132.11,4141.97,3968.0,4168.92,4168.32,4195.95,4120.94,4076.34,4118.42,4152.42,4062.29,4127.72,4036.1,3994.09,4136.55,4059.12,3977.86,4085.36,4044.2,4063.7,3968.47,4139.42,1
4298.97,4003.08,4263.59,4122.56,4347.18,4626.67,4089.23,4638.97,4236.92,4282.56,4229.23,4288.21,4643.59,4370.77,4026.47,3996.5,4188.75,4040.86,4006.32,3964.36,4078.44,4187.72,4019.06,4040.27,4116.19,4170.91,3951.56,4027.57,4047.56,3962.82,4026.51,4156.15,4174.26,3997.73,4111.01,4025.5,4090.08,4040.81,4189.75,4095.63,3977.24,4086.08,4105.85,3973.48,4110.99,4141.48,3991.24,4060.94,4070.27,4107.42,3959.88,4192.5,4007.3,3978.36,4147.39,4165.65,4052.43,4164.95,4056.99,4140.89,3952.81,4185.35,4082.06,4076.39,4049.12,4090.41,4125.14,4015.99,4135.5,4000.54,4155.62,3961.4,3996.25,4175.17,4010.48,4193.62,4194.54,4047.38,4121.54,3996.9,4048.63,3964.52,4103.92,4002.32,1
4315.9,4021.03,4277.95,4134.36,4346.15,4591.28,4095.9,4620,4208.72,4235.38,4212.31,4280.51,4625.64,4391.79,4033.69,4125.71,4060.74,4075.56,4074.39,4149.85,4124.67,4080.95,4088.53,4082.06,4193.09,3969.36,4036.92,4183.98,4033.25,4177.4,4194.91,4128.66,4180.21,4176.08,4006.39,3964.32,4020.66,4187.33,4095.33,4050.27,4151.41,4192.05,4018.23,4105.6,4023.07,3989.58,3959.14,4069.1,3991.58,4098.46,4091.38,4076.61,4133.23,4126.86,4158.86,4004.83,4176.88,4050.21,3965.17,3985.94,4129.24,4030.9,4194.4,4186.38,4100.46,4057.39,4044.06,4093.66,4110.45,4160.16,4048.56,4016.26,4058.97,4182.67,4107.54,4155.48,4125.24,4013.78,4087.88,4116.03,4145.74,4177.65,4198.68,4169.14,0
4319.49,4008.21,4274.36,4135.38,4324.62,4601.03,4055.9,4605.13,4181.03,4216.92,4189.74,4280.51,4584.62,4367.18,4094.2,4184.9,4156.79,4136.01,4018.07,4004.59,4133.5,4135.42,4155.77,4031.51,4084.43,4170.99,3951.79,4168.02,4043.87,3976.28,4105.73,4058.0,3994.06,4193.49,4062.1,4157.05,3992.39,4139.58,4034.46,3960.2,3995.97,4000.67,3966.76,4005.8,3961.68,4091.88,4155.04,3977.85,4031.63,3973.99,4093.69,4063.99,4073.54,4028.03,4034.54,4103.27,4075.05,4032.32,4064.82,4017.09,4129.99,3986.32,4086.19,4040.58,4054.51,3993.77,4183.4,3998.67,4114.66,4179.25,4189.83,4157.48,4064.4,4163.88,3992.03,4047.01,4033.32,3952.88,4072.54,4021.7,4106.21,4046.38,4173.1,4030.89,1
4317.44,4037.95,4267.69,4122.05,4351.79,4631.28,4119.49,4623.08,4216.92,4240.51,4228.21,4293.33,4632.82,4373.85,3981.71,3976.22,4115.15,4069.19,4192.34,4027.18,4170.1,4155.14,4131.48,4195.63,3973.73,4164.67,4109.53,4103.14,4132.54,4010.29,4190.07,4028.3,3955.27,4043.09,4161.81,4030.86,4015.81,4048.67,4079.93,4190.78,4158.66,4067.83,3993.18,4086.22,4047.42,3953.16,4070.51,4091.84,4098.2,4078.74,3977.61,4074.05,3997.73,4051.06,3988.49,4146.34,4025.31,4156.3,3958.95,4096.68,3999.11,4140.71,4023.3,4181.79,4184.71,4047.72,4029.54,4154.58,4153.78,4093.03,4106.27,4126.91,4124.34,4081.99,3972.78,4082.11,4175.33,4014.29,4106.33,4018.29,4065.36,4173.49,4070.69,4104.16,1
4274.87,3997.95,4238.46,4089.74,4335.38,4618.46,4105.64,4634.87,4215.9,4227.18,4188.21,4272.82,4612.31,4335.38,4116.78,4195.03,4115.25,4102.35,3980.54,4019.58,4199.48,4041.59,4194.5,4107.61,4049.44,4063.29,4051.38,4159.11,4073.42,4091.05,4135.41,4049.02,4107.89,4095.97,4008.3,3950.97,4027.88,4115.0,4059.16,4035.04,4020.81,4156.74,4136.12,4138.38,4184.88,4000.88,3950.94,4171.22,4112.27,4061.36,4177.69,4139.96,4076.25,3952.86,4060.3,4017.3,4074.82,4034.24,3973.22,4005.45,4131.63,4120.36,3956.39,3991.98,4025.97,4178.36,3952.93,4082.95,4060.46,4090.5,4166.56,4003.79,4105.31,4098.49,4120.35,4086.77,4122.41,4087.55,4001.03,4142.98,4024.58,4193.69,3990.06,4076.95,1
4300.51,4033.85,4265.64,4142.05,4329.23,4585.64,4086.15,4604.62,4191.79,4225.13,4165.64,4285.64,4595.9,4354.36,4060.79,4127.5,4126.07,4056.45,4102.59,3995.03,4086.47,3977.22,3967.0,4191.33,4148.39,4005.02,4078.21,3978.03,4055.16,4141.78,4110.44,4144.51,4182.99,4169.95,4072.22,3996.77,4192.32,4182.69,3991.03,4127.24,4158.42,4087.6,4144.98,4033.5,3989.24,3985.15,4035.19,4180.05,3968.98,4037.29,4190.01,4173.44,3980.77,4150.13,4142.95,3989.87,4056.02,4115.41,4071.54,4013.59,4176.28,4192.45,4158.24,4090.49,4168.84,4150.62,4011.47,3955.36,4167.73,3950.96,4014.13,4116.77,4110.55,3969.4,3957.22,4044.78,4088.04,4138.84,3978.05,3985.79,4180.77,3981.22,4122.44,4176.79,0
4320,3996.92,4265.13,4136.92,4338.97,4618.97,4082.56,4607.69,4202.05,4229.23,4215.38,4291.28,4617.95,4371.79,4083.88,4050.48,4153.08,4180.72,4006.82,4039.32,4169.84,4109.05,4037.77,4059.62,4012.01,4118.2,4125.1,3971.94,4020.85,4026.01,4067.3,4069.43,4080.02,4104.02,4073.42,3986.55,4113.31,4020.23,4173.98,4019.65,4088.09,4171.28,4196.17,4188.09,4018.93,4146.63,3976.07,4061.87,3986.46,4027.48,4106.83,4127.12,4191.97,3981.32,4181.71,4127.29,4124.75,4031.24,4104.68,3976.33,4159.59,4142.65,4057.83,3989.48,4142.76,4171.23,4126.65,4000.14,4060.34,4129.65,4045.71,3968.38,4099.46,4097.27,4118.22,4088.38,3952.98,4196.4,4160.82,4159.84,4118.93,4141.01,4133.42,4048.64,0
