@Relation EEGDataTraining_24

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4298.97,4011.28,4257.44,4116.41,4349.74,4568.21,4097.95,4617.95,4204.62,4242.05,4205.64,4276.92,4602.05,4355.9,4191.98,4037.85,4192.6,4085.92,3950.2,4029.46,4129.67,4093.11,4036.23,4074.75,0
4282.56,4008.72,4251.79,4109.23,4340,4612.82,4048.21,4595.38,4181.54,4225.64,4207.18,4280.51,4627.18,4345.64,4089.24,3950.53,4048.54,4162.2,4011.47,3956.47,4025.43,3969.69,4153.58,4146.86,1
4294.36,4030.26,4263.59,4137.95,4341.03,4625.13,4084.1,4620,4199.49,4235.9,4204.1,4278.97,4609.74,4351.28,3994.74,4096.63,4024.51,4191.18,4104.02,3987.13,4186.57,4065.78,3960.34,4120.54,1
4299.49,3966.67,4254.87,4091.28,4320.51,4609.74,4065.64,4622.56,4206.67,4236.41,4209.74,4287.69,4597.95,4373.33,4185.33,4147.98,4006.62,4008.16,4077.55,4009.04,4196.8,3970.32,4023.22,4184.95,1
4296.41,4016.92,4263.08,4117.95,4333.33,4616.92,4089.74,4605.13,4188.21,4214.87,4181.54,4273.85,4578.46,4352.82,4069.9,3992.47,4093.28,4094.51,4047.6,3977.74,4131.16,4062.52,3978.78,4045.9,0
4283.08,3993.85,4248.21,4102.05,4335.9,4600,4065.64,4587.69,4177.95,4214.36,4191.79,4275.38,4613.85,4353.85,4027.66,3963.38,4133.89,4097.69,4138.19,4146.29,3997.69,4108.88,4050.85,3986.49,1
4324.1,4023.08,4275.9,4135.38,4333.85,4616.92,4082.56,4631.28,4212.82,4231.79,4195.9,4285.64,4593.33,4379.49,4120.93,4082.52,4196.2,3979.01,4120.83,4036.79,4139.02,4062.77,4143.1,4146.92,0
4296.41,4003.59,4262.56,4126.15,4329.23,4618.46,4077.44,4601.54,4190.26,4235.9,4190.77,4283.08,4589.74,4369.74,4109.18,4086.78,4145.25,4018.26,4179.93,4168.18,4070.96,4021.99,3966.32,4158.39,0
4378.46,4025.13,4283.59,4122.05,4322.05,4609.23,4056.41,4615.38,4196.41,4230.77,4233.85,4307.69,4650.77,4448.21,4044.26,4031.84,4023.45,4193.24,4146.45,4102.93,4037.21,4070.99,4156.72,3956.61,1
4274.36,3984.1,4251.79,4116.41,4329.23,4598.97,4041.54,4618.46,4192.31,4213.33,4199.49,4271.79,4588.21,4342.05,4050.46,4049.97,4001.21,3993.33,4051.01,4184.95,4110.58,3997.96,3987.54,3986.09,1
4322.56,4052.31,4282.05,4152.82,4356.92,4638.46,4072.31,4612.31,4204.62,4251.28,4216.41,4287.18,4616.92,4385.13,4180.6,4039.7,4016.09,4150.16,4112.35,4094.15,4060.66,4085.22,4058.41,3982.87,1
4276.41,4001.54,4248.21,4092.31,4336.41,4605.64,4042.05,4587.69,4175.38,4212.82,4189.74,4267.69,4611.28,4330.77,4081.45,4097.26,4184.15,4065.55,3995.26,4152.42,4172.1,4098.37,4162.74,4167.67,1
4322.05,4004.1,4282.05,4112.82,4336.92,4618.46,4071.28,4625.13,4214.87,4247.69,4211.79,4286.67,4606.67,4373.33,4069.46,4035.8,4092.52,4114.56,4067.93,4119.89,4066.41,3989.37,4147.28,4068.46,1
4324.1,4032.31,4267.18,4125.64,4345.13,4632.31,4082.05,4610.26,4203.59,4240,4209.74,4299.49,4606.67,4388.21,4198.71,3951.57,4140.63,3985.58,4058.24,4198.93,3955.32,4024.66,4052.63,3996.35,0
4301.54,3999.49,4254.87,4125.64,4329.74,4617.95,4070.26,4605.64,4200,4231.28,4205.13,4285.13,4610.77,4355.38,4061.51,3986.48,4022.71,4139.41,4195.13,4009.28,4143.84,4093.12,3955.65,4021.31,0
4280,4003.59,4250.26,4124.62,4341.03,4617.95,4057.44,4615.9,4191.28,4225.13,4157.95,4253.85,4594.87,4331.79,4012.58,4106.58,4132.55,4150.89,3973.3,4006.64,4024.54,4115.43,4072.37,4091.16,1
4293.85,3977.44,4262.56,4119.49,4334.87,4621.03,4071.79,4635.38,4216.92,4235.38,4194.36,4283.59,4581.54,4350.77,3952.58,4131.51,4132.75,4085.75,4197.37,4075.02,4053.69,4122.99,4040.44,4168.9,1
4323.59,4068.72,4287.18,4153.85,4347.69,4625.64,4087.18,4602.56,4193.33,4226.67,4195.9,4284.1,4577.95,4351.28,3978.38,4089.99,4198.01,4140.63,4074.97,4137.66,4056.7,4111.25,4074.9,3982.0,1
4316.41,4014.36,4256.92,4124.1,4327.18,4596.41,4052.31,4582.05,4172.82,4206.67,4188.21,4275.38,4594.87,4378.97,4122.91,3999.19,4122.1,4006.94,3967.04,4073.54,4185.99,4089.25,3995.06,3962.48,1
4268.21,3976.41,4247.69,4111.28,4328.21,4595.9,4039.49,4619.49,4208.72,4215.38,4191.79,4264.1,4574.87,4330.77,4036.22,4028.83,3966.14,4011.43,4112.24,3982.08,4155.49,3970.36,3996.65,3985.44,1
4284.62,3998.46,4253.33,4124.1,4321.03,4613.33,4043.08,4597.95,4188.72,4216.41,4186.15,4269.74,4601.03,4329.23,4038.55,4019.35,4051.28,4122.44,3959.01,3988.38,4072.19,4024.94,3961.68,3978.33,1
4307.18,4021.03,4264.62,4112.82,4343.59,4623.59,4106.67,4623.59,4220,4238.97,4212.82,4295.9,4624.62,4368.21,4091.31,4142.7,3961.8,4061.12,4111.84,4105.69,4058.99,4156.83,4143.45,4065.03,1
4311.28,4045.64,4268.72,4141.54,4341.03,4586.67,4086.15,4607.69,4198.97,4233.85,4180.51,4287.69,4605.64,4354.36,4004.03,3978.49,4081.94,4100.7,4106.86,4058.73,4066.8,4144.0,4166.63,3993.9,0
4302.56,4017.95,4247.69,4120.51,4345.64,4632.31,4074.36,4602.56,4197.95,4237.95,4195.38,4268.21,4593.33,4371.28,4056.09,4166.7,4085.58,4149.67,3952.92,3955.81,3991.5,4139.99,4199.09,4126.8,0
4328.21,4050.26,4280.51,4154.36,4349.23,4612.31,4067.69,4598.97,4193.85,4248.72,4217.95,4281.54,4629.23,4377.95,3964.23,3999.8,4089.63,4156.74,4014.35,3994.73,3967.91,3950.37,4029.48,4000.83,1
4337.95,3980,4265.64,4104.62,4336.41,4631.28,4112.82,4636.92,4224.1,4244.1,4243.08,4315.9,4656.41,4405.13,3975.6,4171.72,4184.12,4008.11,4184.6,4071.32,4068.15,4103.03,4173.34,4187.0,1
4288.21,3996.92,4249.74,4120,4328.72,4597.44,4077.95,4607.18,4191.79,4226.15,4204.1,4283.59,4606.15,4349.23,4187.89,4067.62,4185.21,4184.39,3977.24,3994.44,4008.23,4134.92,4168.92,4191.22,0
4298.46,4034.36,4265.13,4135.38,4327.69,4586.67,4088.21,4597.95,4195.38,4223.08,4162.56,4282.05,4592.82,4349.74,3978.95,4134.62,4063.11,3982.39,4065.17,4033.03,4042.16,4063.24,4169.22,3964.5,0
4312.31,4009.23,4268.21,4113.85,4339.49,4615.38,4056.41,4608.21,4194.87,4233.85,4212.82,4285.64,4607.18,4361.54,4188.02,4010.6,3997.66,4187.78,3979.95,4197.63,3950.34,4059.22,4145.74,4139.01,1
4315.9,4022.05,4264.1,4109.23,4351.79,4633.33,4084.62,4628.72,4226.67,4263.59,4229.74,4295.9,4629.74,4377.95,3968.1,4061.25,4025.56,4176.93,4070.59,4185.99,4044.73,3983.34,4151.85,4151.64,0
4281.54,4032.31,4249.23,4123.08,4351.79,4633.85,4090.77,4611.79,4207.69,4229.74,4191.79,4269.23,4577.44,4333.33,4103.52,4039.02,4002.28,4113.55,4045.28,4031.0,4086.73,4148.33,3989.91,4115.39,0
4270.26,3949.74,4216.41,4083.59,4334.36,4601.54,4067.18,4594.87,4175.38,4217.95,4170.77,4247.18,4567.18,4317.44,4063.89,4198.24,4105.85,4138.68,4149.39,4048.18,4118.5,4169.56,4114.54,4130.88,1
4296.92,4008.72,4261.54,4105.13,4335.9,4604.62,4037.95,4600,4190.77,4222.56,4202.56,4263.59,4610.26,4346.67,4060.99,4060.43,4051.1,4182.44,3952.51,4078.08,4042.68,3988.45,3977.95,4002.58,1
4412.82,4042.05,4275.9,4147.18,4317.95,4593.33,4066.15,4589.74,4187.69,4237.44,4196.41,4304.1,4697.95,4482.05,4049.13,4152.34,4023.79,4024.63,3969.93,3979.42,4003.38,4024.83,4028.93,4046.0,0
4359.49,4006.67,4278.46,4115.38,4337.95,4630.77,4106.15,4632.82,4224.1,4238.46,4242.05,4317.44,4649.23,4420.51,4027.77,4161.14,4065.43,4191.94,3950.36,4045.7,4044.05,4005.05,4116.77,3961.45,1
4288.21,4005.64,4260.51,4112.31,4331.28,4606.15,4054.36,4602.56,4182.56,4219.49,4195.38,4267.18,4589.23,4345.64,4090.1,4013.32,4172.86,4063.47,4067.26,4042.09,4037.86,4165.42,4114.72,4161.84,1
4303.08,4013.85,4256.41,4132.82,4334.87,4603.59,4056.41,4597.95,4194.36,4211.79,4177.44,4270.26,4581.54,4354.36,4125.45,4078.5,4163.02,4134.09,4086.32,4151.19,4156.92,4093.64,4040.53,3992.67,1
4310.77,4003.08,4272.82,4132.82,4354.36,4626.15,4084.62,4636.92,4228.21,4274.36,4228.21,4288.72,4643.08,4381.03,3983.44,4023.81,4088.3,4186.57,4175.76,4036.56,4137.33,3966.79,3997.93,4137.25,1
4271.79,3976.41,4252.82,4112.82,4329.23,4594.36,4034.87,4613.33,4197.95,4210.77,4194.87,4268.21,4577.44,4331.79,3969.83,4002.81,4103.67,3965.94,4070.93,4059.66,3982.37,4150.72,4074.73,4033.43,1
4297.95,3975.38,4259.49,4122.56,4333.85,4616.41,4083.59,4604.1,4203.08,4229.74,4203.08,4283.08,4605.13,4354.87,4127.41,4075.88,4056.97,4156.18,3972.52,3963.46,4054.64,3987.63,4170.93,4114.94,0
4317.95,3995.9,4283.08,4108.21,4330.26,4608.72,4076.41,4630.77,4222.05,4240,4205.13,4285.13,4593.33,4371.28,3962.61,4097.76,4010.9,4066.99,4024.61,4000.19,3994.89,4149.67,3985.59,4116.15,1
4253.33,4026.67,4251.79,4136.41,4346.67,4614.36,4050.26,4594.36,4174.36,4184.62,4140.51,4255.38,4499.49,4296.41,4133.13,4041.08,3997.83,3969.59,3971.81,3977.51,3956.45,4036.49,4041.61,4052.88,0
4309.74,4008.21,4281.03,4141.03,4334.36,4602.05,4084.62,4618.97,4212.82,4242.05,4213.33,4289.74,4625.64,4363.59,4195.04,4099.62,4130.09,4148.55,3992.68,3954.69,4013.59,3976.57,4040.42,4167.5,0
4287.18,3970.77,4254.36,4111.79,4348.72,4618.46,4082.05,4614.87,4198.97,4237.44,4195.9,4269.74,4598.46,4348.21,3950.5,4088.91,3996.03,4152.01,4173.51,4069.64,4000.6,4119.82,4082.14,4032.0,1
4487.69,4153.33,4298.97,4178.97,4348.72,4599.49,4069.74,4591.28,4185.13,4234.87,4268.72,4337.95,4728.21,4521.54,4066.79,4144.81,4146.84,4118.0,4192.25,3973.11,4128.23,4114.78,4028.22,4044.5,0
4292.82,3998.97,4235.9,4104.1,4334.36,4620.51,4080.51,4602.05,4192.31,4228.72,4190.77,4273.33,4590.26,4364.1,4016.14,4055.57,4146.31,4062.48,4127.1,4165.34,4168.7,4030.16,4077.31,4013.39,0
4297.44,4018.97,4278.46,4143.08,4345.13,4622.56,4087.69,4606.67,4209.74,4246.67,4204.62,4283.08,4602.56,4351.28,4102.68,4045.82,4150.69,4088.81,4087.21,4089.18,3973.82,4075.27,4117.89,4037.52,1
4283.59,4007.18,4253.85,4102.05,4336.41,4607.69,4053.33,4593.33,4184.62,4225.64,4199.49,4273.33,4624.62,4340,3950.41,4173.98,4159.87,4041.64,4073.31,4129.13,3970.94,4112.5,4121.99,4008.57,1
4320,4038.46,4271.79,4122.05,4345.13,4621.03,4104.1,4613.85,4208.72,4240.51,4225.13,4292.82,4627.69,4373.33,4042.31,3997.96,3951.63,4000.71,4173.09,3955.05,4196.2,4077.43,4012.49,4001.18,1
4276.92,3987.69,4246.67,4104.62,4321.03,4599.49,4053.33,4615.38,4201.54,4223.59,4212.31,4277.44,4598.97,4347.69,4084.53,4066.88,4017.76,4047.23,4073.69,4106.45,4120.44,4191.12,4050.25,4168.63,1
4315.38,4008.72,4283.59,4125.13,4335.9,4603.08,4056.92,4612.31,4206.67,4241.54,4189.23,4287.69,4615.38,4378.46,4193.98,3965.72,4183.72,3960.53,4019.91,4102.32,4120.69,4100.56,4147.0,4165.96,1
4359.49,3983.08,4282.05,4106.67,4326.67,4589.74,4083.59,4617.44,4213.85,4251.79,4260.51,4313.85,4707.69,4456.41,4033.74,4060.2,4187.02,3972.11,4159.54,3950.57,4070.94,4176.57,4090.95,4081.28,1
4280.51,3990.77,4266.15,4091.79,4333.85,4614.87,4080,4622.05,4205.64,4235.9,4204.62,4281.03,4594.87,4344.1,3956.92,4134.98,3989.87,4047.43,4072.97,3973.39,4033.51,4144.72,4126.78,4089.9,0
4290.77,3988.21,4262.05,4120,4329.23,4626.15,4064.1,4625.64,4214.87,4247.18,4221.54,4290.26,4621.54,4367.18,4158.57,4095.53,4051.77,4025.09,4093.6,4018.41,4090.09,4043.2,3991.82,4077.47,0
4291.28,3992.82,4266.67,4121.54,4331.79,4624.1,4065.13,4625.64,4208.21,4251.79,4225.13,4290.26,4627.18,4372.31,4059.47,4053.02,4109.52,4165.21,4183.39,3971.99,3994.84,4195.66,4178.05,4161.47,0
4269.74,3965.13,4237.95,4091.28,4337.44,4608.72,4072.31,4605.64,4194.36,4226.15,4185.64,4257.44,4585.13,4328.72,4098.16,3970.98,3988.33,4164.07,3998.78,4152.05,3979.86,4176.67,3998.98,4198.65,1
4302.05,4010.77,4262.56,4119.49,4331.79,4617.95,4072.82,4616.92,4200.51,4217.44,4188.21,4260.51,4592.31,4353.85,4134.46,4174.01,4096.41,4184.69,4108.76,3970.55,4181.14,4142.02,4185.35,4077.53,1
4347.69,4040,4271.28,4122.05,4318.46,4617.44,4063.59,4609.23,4206.67,4227.69,4215.9,4288.72,4634.36,4406.15,4101.02,3996.87,4050.07,3968.06,4117.29,4118.33,4070.94,4159.47,4063.33,4040.66,0
4446.15,4091.28,4295.9,4152.82,4352.82,4629.74,4072.31,4610.77,4204.1,4266.67,4245.13,4314.87,4676.92,4479.49,4191.54,3964.99,4176.97,3973.49,4133.31,3978.41,4156.39,4071.83,3987.32,4148.76,0
4265.13,4006.67,4248.72,4119.49,4324.1,4614.36,4063.59,4589.74,4175.9,4217.95,4178.97,4256.92,4587.18,4317.95,4059.39,4123.59,4149.42,4082.82,4167.16,3978.86,4134.24,4135.7,4001.26,4042.48,0
4270.77,4006.15,4255.38,4118.97,4330.77,4620,4070.26,4608.72,4194.87,4227.69,4185.13,4269.74,4589.23,4331.28,4147.33,4129.97,4198.74,4139.65,4085.92,4141.93,3951.0,4127.15,3998.3,4078.4,0
4315.38,4041.03,4263.59,4123.08,4351.28,4635.38,4108.21,4645.13,4236.92,4242.05,4223.08,4292.31,4621.54,4368.21,4034.13,4151.7,4000.19,4096.22,4008.95,4068.99,4107.96,4007.37,4148.63,4002.43,1
4323.08,4041.03,4265.64,4123.08,4346.15,4615.38,4104.1,4626.67,4229.23,4244.62,4232.82,4293.85,4628.21,4378.46,4076.21,4090.74,4083.06,4105.35,4049.89,4142.4,4097.43,4183.32,4015.11,3970.0,1
4280,3982.56,4249.74,4117.44,4342.56,4611.79,4068.72,4606.67,4190.77,4229.74,4194.36,4265.13,4600.51,4347.18,4140.95,3997.95,3974.33,4054.93,4176.67,4028.17,4105.21,4009.65,4156.28,4111.12,1
4276.92,3983.59,4260,4119.49,4348.21,4625.13,4072.82,4628.21,4209.74,4232.31,4211.28,4281.03,4606.67,4341.54,4096.02,4015.98,4146.05,4165.77,4155.57,4155.42,4103.2,3952.88,4050.07,4068.76,0
4287.69,4009.23,4260,4119.49,4326.15,4614.36,4044.62,4594.87,4189.23,4219.49,4192.82,4269.74,4612.31,4352.82,4098.15,4093.19,4046.76,4109.92,4075.9,4131.78,4062.03,4136.1,3988.08,3997.5,1
4309.23,4008.72,4266.15,4110.26,4339.49,4611.79,4063.59,4618.46,4192.31,4241.54,4200.51,4283.59,4612.31,4371.79,4158.04,4162.66,4188.17,3971.15,4046.07,3952.35,4041.7,4159.98,4156.05,4131.51,1
4294.36,3993.85,4265.64,4110.77,4342.05,4620.51,4069.74,4625.13,4203.08,4234.87,4210.77,4286.67,4602.56,4364.1,4130.42,4187.18,4182.7,4074.12,4055.83,4036.13,4160.83,4024.23,4090.48,4171.71,0
4387.18,4019.49,4266.67,4135.9,4317.95,4587.18,4051.28,4598.46,4193.85,4232.82,4193.33,4307.18,4697.95,4470.77,4154.79,4100.02,4123.22,3982.32,4162.43,4199.35,3968.69,4144.68,3982.19,4167.71,0
4290.26,3988.72,4249.74,4098.46,4323.08,4628.72,4083.08,4625.64,4216.92,4247.69,4204.1,4278.46,4593.33,4366.67,4141.22,3955.48,4035.32,4120.16,4055.22,4156.65,4020.91,3962.23,4058.06,4039.26,0
4276.92,3988.21,4247.69,4121.54,4319.49,4616.41,4038.97,4590.77,4177.44,4218.97,4191.79,4264.1,4602.56,4349.23,4036.65,4148.28,4164.68,4155.23,4189.29,4039.85,4041.46,4195.98,4058.92,4085.33,0
4304.62,4001.54,4253.33,4136.92,4326.15,4618.46,4051.79,4609.23,4190.77,4233.33,4221.03,4286.67,4629.23,4374.36,3961.39,4169.67,4029.03,4197.2,4134.78,3986.12,4137.28,4126.3,4166.58,4164.88,0
4294.36,3972.82,4247.69,4080,4330.77,4614.87,4099.49,4629.74,4216.41,4229.23,4172.82,4290.77,4604.62,4359.49,4045.29,4090.08,3971.67,4121.14,4145.64,3972.15,4047.5,4167.69,4078.78,4063.24,1
4301.54,4004.62,4262.05,4112.82,4335.9,4612.82,4069.23,4625.13,4201.03,4234.36,4190.26,4276.41,4601.03,4361.54,3987.46,4097.22,4089.77,4011.69,3996.96,4096.82,3985.94,4142.7,3993.58,4016.46,1
4265.13,3969.74,4235.9,4088.72,4329.74,4610.26,4062.05,4599.49,4189.23,4225.64,4189.23,4265.64,4595.38,4337.44,4008.44,4124.89,3988.54,3967.17,4098.7,4054.04,4194.15,4117.23,3992.7,4103.94,1
4292.31,3972.31,4253.33,4120,4333.33,4615.9,4079.49,4590.77,4182.05,4213.85,4195.38,4275.38,4601.54,4348.21,4092.77,4124.26,4160.45,4020.72,3963.62,4021.28,4005.17,4005.01,3956.31,4052.77,0
4272.82,3933.85,4244.62,4085.64,4326.67,4611.28,4106.15,4640,4229.23,4241.54,4232.82,4299.49,4642.05,4353.33,4077.78,4194.89,4149.63,4148.16,4052.29,4118.9,4082.37,4027.21,3960.15,4192.15,1
4282.56,4007.69,4248.21,4117.44,4328.21,4623.08,4089.74,4612.82,4200,4215.9,4177.44,4259.49,4568.21,4330.26,4163.79,4107.28,3951.5,4079.35,4148.24,3995.26,3970.58,4062.52,4063.79,3981.0,0
4309.23,4007.69,4276.41,4134.36,4326.67,4617.44,4077.95,4620.51,4206.15,4235.9,4204.1,4292.31,4620.51,4385.13,4127.21,4099.03,4137.85,3988.35,4087.74,4031.01,4013.14,4129.12,4081.89,4115.44,1
4327.18,4010.77,4295.38,4128.21,4338.97,4629.23,4076.92,4633.85,4207.69,4248.21,4219.49,4296.41,4605.13,4375.38,4126.89,3981.85,4078.97,3978.52,3953.79,4009.2,4051.96,4156.1,4047.57,4158.89,1
4283.08,3961.03,4268.21,4115.38,4332.31,4618.97,4077.44,4640.51,4235.9,4241.54,4207.69,4289.23,4591.28,4351.79,4013.62,4021.52,4050.16,4087.15,4127.13,4065.32,4004.72,4088.48,4080.96,3995.48,1
4278.97,4002.05,4260.51,4132.31,4324.62,4616.41,4046.15,4608.72,4196.92,4217.44,4192.31,4267.69,4603.08,4330.77,4055.89,4113.06,4011.25,4028.93,4078.86,4153.21,4130.75,3992.74,4069.54,4031.83,1
4310.77,4003.59,4271.28,4120.51,4343.59,4618.46,4078.46,4636.92,4203.08,4235.9,4193.85,4280,4595.38,4366.67,4018.68,4198.18,3969.59,4147.32,4034.2,3981.31,4125.49,4080.01,4195.7,4122.81,1
4290.26,4012.31,4246.15,4108.72,4347.69,4624.62,4066.15,4604.1,4188.72,4232.82,4198.46,4262.56,4603.08,4352.82,4155.52,4108.2,4071.81,4030.37,4169.75,4026.34,4079.41,4121.54,4039.77,4105.41,0
4288.21,4023.59,4263.59,4136.41,4344.1,4636.41,4070.77,4602.05,4192.31,4236.41,4195.38,4275.9,4603.08,4343.59,4084.21,4188.9,4179.02,4063.56,4152.04,4121.39,3985.35,4034.38,4059.25,4083.12,0
4262.05,3977.95,4262.56,4109.74,4342.05,4639.49,4104.1,4635.9,4225.13,4241.03,4201.03,4286.15,4595.38,4344.62,3977.19,4038.49,4144.89,4191.23,4151.22,4164.91,4110.26,4128.49,4152.91,4069.01,0
4211.79,4011.79,4231.79,4108.21,4339.49,4624.62,4082.05,4603.08,4186.15,4213.85,4162.05,4235.9,4537.95,4257.95,3970.77,4063.1,3950.1,4125.27,4101.89,4122.73,4048.99,4058.87,4020.43,3994.11,1
4362.56,3988.72,4263.59,4127.18,4347.18,4603.08,4069.74,4596.41,4195.38,4236.92,4211.79,4292.31,4620,4416.92,4055.22,4063.53,3990.38,4149.75,4128.74,4088.17,4036.59,4043.76,4106.14,4090.2,1
4312.31,3962.05,4262.56,4108.21,4339.49,4621.54,4103.59,4637.95,4221.54,4243.08,4234.87,4312.82,4655.38,4392.82,4021.77,4029.54,4122.73,4060.74,4045.16,3986.93,4147.77,4057.13,4175.6,4017.83,1
4295.9,3954.36,4245.64,4089.23,4335.38,4606.15,4076.92,4602.56,4193.85,4227.69,4183.08,4267.69,4577.44,4343.59,3954.95,3981.59,4100.19,3996.79,4104.94,4148.31,4028.58,4158.48,4018.79,3964.43,1
4267.69,3989.74,4227.18,4105.64,4325.64,4612.82,4041.03,4588.21,4183.59,4215.38,4186.67,4249.74,4611.28,4322.05,4014.42,4020.46,4100.87,4130.11,4171.22,4144.45,4162.93,4096.56,4058.8,4112.5,1
4288.72,3993.33,4247.69,4105.64,4328.72,4609.74,4064.62,4607.18,4192.31,4217.44,4188.21,4270.26,4597.95,4341.03,4115.25,3966.1,4140.93,4144.12,4101.0,4021.83,4195.97,4025.45,4001.79,4140.2,1
4304.1,4004.62,4272.31,4120,4336.41,4595.9,4034.36,4603.08,4185.64,4226.67,4201.54,4277.95,4613.33,4346.67,4075.81,3982.5,4064.85,4193.11,4034.29,3968.47,4075.9,3969.37,3985.02,4083.28,1
4296.41,4005.13,4250.26,4106.15,4348.72,4627.69,4069.23,4600,4185.64,4228.21,4194.87,4273.33,4591.79,4366.67,4104.91,4008.98,4148.79,4066.88,4123.25,4181.12,4134.29,4195.54,3996.21,4080.84,0
4323.59,4049.74,4282.56,4143.08,4348.72,4632.82,4072.82,4598.97,4189.23,4237.44,4209.23,4288.21,4608.72,4381.03,4027.73,4068.67,4071.68,4119.01,4086.65,4150.06,3963.01,3950.19,4105.88,4071.54,1
